Sr,District,Taluka,Circle,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total RainFall,%RainFall,Rainy Days
1,Nasik,Malegaon,Malegaon,104.4,33.0,3.5,0.0,0.0,1.6,2.8,0.0,0.6,0.5,0.0,0.0,6.2,1.8,1.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,2.0,6.0,0.0,13.5,77.5,78.8,6
2,,Baglan,Satana,98.4,45.0,30.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,8.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,13.0,0.0,3.0,0.0,111.2,68.2,7
3,,Kalwan,Kalwan,163.0,34.0,32.0,7.0,2.0,5.0,3.0,2.0,2.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,123,113.9,10
4,,Nandgaon,Nandgaon,108.0,31.0,2.0,0.0,0.0,5.0,5.0,3.0,3.0,2.4,0.0,0.0,4.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,104.4,19,10
5,,Surgana,Surgana,550.2,39.0,91.0,59.0,28.0,38.0,23.0,8.0,10.0,7.0,8.0,4.0,15.0,11.0,3.0,1.0,3.0,0.0,7.0,5.0,25.0,24.0,18.0,1.0,0.5,0.0,20.0,4.0,2.0,0.0,0.0,0.0,454.5,336.9,22
6,,Nasik,Nasik,134.9,10.0,51.0,27.0,13.0,5.0,1.3,7.0,3.1,5.0,1.2,1.3,1.4,1.0,9.5,2.3,3.0,2.2,2.0,1.1,1.8,12.0,3.0,0.0,0.0,0.0,0.0,5.6,1.0,0.0,0.4,0.0,171.2,94,13
7,,Dindori,Dindori,182.1,12.5,24.5,29.5,6.5,7.5,3.2,2.5,7.4,5.5,4.0,0.4,9.5,2.0,1.0,3.5,3.0,1.5,0.0,1.0,3.0,6.0,4.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,145,13.7,17
8,,Egatpuri,Igatpuri,1057.4,68.0,199.0,136.0,89.0,38.0,40.0,29.0,26.0,14.0,9.0,7.0,14.0,13.0,23.0,10.0,7.0,22.0,7.0,17.0,34.0,50.0,39.0,18.0,1.0,1.0,6.0,13.0,1.0,0.0,0.0,0.0,931,141.1,25
9,,Peth,Peth,660.0,33.1,99.0,69.0,53.0,60.0,12.0,14.9,12.0,10.0,5.0,2.0,13.0,10.0,23.0,8.0,12.0,2.0,2.0,7.0,19.0,30.0,15.0,1.0,2.0,3.5,12.0,22.0,1.5,0.0,0.0,0.0,553,671.1,22
10,,Niphad,Niphad,82.4,14.0,22.4,12.2,5.0,2.0,1.0,3.0,2.3,7.0,0.0,0.0,2.0,0.0,2.0,11.0,4.0,0.0,0.0,0.0,3.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.9,95.6,10
11,,Sinnar,Sinnar,104.5,9.0,22.8,11.8,6.0,2.2,3.8,2.0,1.6,4.8,1.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,3.4,0.0,1.0,0.0,5.4,0.0,0.0,0.0,5.0,4.4,0.0,0.0,0.0,0.0,87.6,107.7,11
12,,Yevla,Yeola,81.3,13.0,5.0,4.0,1.0,7.0,9.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58,48.3,7
13,,Chandwad,Chandwad,120.0,27.0,4.0,8.0,4.0,7.1,2.1,4.0,3.0,3.1,0.0,0.0,2.0,5.4,0.0,0.0,8.0,0.0,3.0,0.0,0.0,3.1,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,86.8,13.2,12
14,,Trimbakeshwar,Tryambakeshwar,660.0,29.0,127.0,180.0,80.0,40.0,28.0,45.0,42.0,3.0,9.0,5.0,12.0,7.0,10.0,17.0,13.0,7.0,7.0,8.0,2.0,29.0,18.0,0.0,0.0,0.0,0.0,21.0,6.0,0.0,1.0,0.0,746,603.6,23
15,,Devali,Devala,123.6,16.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,46,37.2,6
