Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total RainFall,%RainFall,Rainy Days
1,Thane,Thane,637.2,214.6,60.8,34.7,25.4,21.3,65.9,24.6,10.7,8.0,18.4,7.1,6.2,2.8,1.2,2.2,2.7,2.0,5.9,6.0,1.5,1.1,1.4,7.8,13.1,2.1,4.5,22.6,27.2,43.0,5.7,5.9,656.4,100.6,24
2,,Kalyan,652.7,144.1,64.0,85.0,51.1,23.6,52.9,23.8,6.8,17.1,19.5,8.2,5.8,2.7,0.4,0.9,0.4,1.5,7.0,3.9,0.9,0.1,0.7,13.7,15.5,2.8,2.9,14.5,7.3,33.6,8.4,9.2,628.3,99.1,24
3,,Murbad,634.3,117.2,79.2,150.2,98.2,28.0,58.8,61.8,31.8,19.2,17.9,36.8,19.2,17.6,6.1,3.6,2.2,1.2,8.0,7.2,5.0,0.4,15.0,59.4,32.4,14.8,3.6,31.0,10.8,10.8,11.4,15.6,974.4,150.7,28
4,,Bhivandi,646.4,150.9,70.5,87.0,43.0,32.8,44.9,17.9,15.0,9.9,18.8,8.9,5.2,5.9,2.5,0.5,1.5,1.6,14.0,4.2,0.9,2.2,2.6,11.8,16.9,4.3,3.5,19.9,8.2,24.7,6.0,6.0,642,91.3,25
5,,Shahapur,703.2,94.4,172.4,142.4,69.6,28.3,81.7,27.8,11.0,17.9,25.5,28.3,21.0,9.8,2.9,2.6,0.8,0.8,5.0,8.3,0.9,7.8,12.7,35.4,26.6,10.2,1.3,29.4,5.1,28.1,8.7,17.9,934.6,154.7,27
6,,Ulhasnagar,604.3,190.0,54.0,51.0,34.0,46.0,48.0,30.0,9.0,10.0,13.0,20.0,9.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,12.0,19.0,5.0,2.0,18.0,5.0,31.0,5.0,22.0,646,106.9,23
7,,Ambarnath,604.3,209.1,65.7,73.5,62.3,30.0,64.1,28.6,8.1,8.4,22.1,18.7,18.6,4.2,1.4,2.0,0.8,0.0,7.0,2.1,0.0,1.3,2.3,39.7,33.5,10.3,2.5,38.2,2.6,13.3,5.3,33.8,809.5,168.9,22
8,Raigadh,Alibag,479.4,74.7,46.9,5.0,15.7,7.7,23.6,5.6,5.9,6.0,8.1,7.7,22.0,2.3,0.7,0.3,0.6,0.4,2.6,1.9,0.3,1.0,3.6,10.3,11.3,4.3,5.9,61.3,28.9,25.7,7.3,5.3,402.9,51,23
9,,Panwel,790.4,121.1,47.5,40.5,34.7,22.4,77.1,18.8,8.3,6.7,13.8,13.7,19.0,5.6,1.5,2.9,2.4,4.6,7.1,2.1,3.0,3.8,3.3,17.1,32.2,4.6,4.7,40.5,12.9,15.3,6.1,9.1,602.4,64.2,28
10,,Karjat,937.6,204.4,93.8,79.1,77.7,38.8,106.5,40.8,19.3,26.5,32.5,28.0,41.9,10.2,4.3,4.4,8.1,3.3,13.3,4.1,5.0,1.0,0.6,52.9,34.5,15.7,3.8,48.6,6.2,7.6,8.4,13.7,1035,100.9,29
11,,Khalapur,1026.1,183.3,72.7,45.7,70.3,18.3,86.3,37.3,21.3,29.0,19.0,50.3,65.3,6.0,2.7,1.7,3.3,5.3,13.0,6.0,4.3,1.0,1.7,62.7,56.3,9.0,8.7,58.7,9.3,12.7,7.3,14.7,983.2,202.1,28
12,,Uran,486.6,75.3,48.7,28.0,17.7,22.1,91.3,13.3,12.7,11.3,12.4,21.8,20.9,3.3,0.0,0.7,3.5,10.5,5.7,3.5,5.0,2.3,6.7,6.1,25.0,5.3,3.3,134.0,54.3,31.0,13.3,5.6,694.6,65.1,28
13,,Sudhagad,1067.7,158.0,129.0,75.0,49.0,32.7,70.3,34.0,28.3,37.3,27.3,33.3,62.0,18.0,2.7,5.3,7.0,5.3,5.7,1.3,0.0,1.7,0.0,36.7,57.3,5.3,2.0,25.3,15.3,14.0,8.7,32.7,980.5,129,26
14,,Pen,760.2,142.0,53.6,21.4,41.6,30.2,60.8,28.0,20.2,26.2,22.0,30.6,47.0,12.6,5.4,6.2,1.8,1.0,6.4,6.6,1.0,1.2,8.0,46.8,29.6,12.0,7.8,47.8,12.8,18.4,12.4,18.6,780,85.4,27
15,,Mahad,912.9,114.5,202.5,215.8,108.1,38.4,90.1,33.9,18.2,34.3,25.0,17.2,15.7,17.6,4.0,3.5,9.5,2.2,9.0,11.9,1.4,0.3,11.6,28.5,33.1,10.0,9.1,37.0,11.1,28.5,20.1,35.6,1197.7,154.3,28
16,,Mangaon,776.4,131.8,165.0,76.4,81.2,28.0,72.4,10.4,22.0,24.0,13.8,16.2,12.6,12.4,1.4,0.0,4.2,0.8,18.8,14.4,1.2,2.0,8.0,36.2,48.6,17.0,8.2,43.4,11.0,28.0,8.4,21.0,938.8,113.5,26
17,,Roha,827.5,216.3,141.8,108.8,100.3,31.3,93.5,45.5,46.3,22.8,27.5,26.8,29.0,7.8,6.3,5.3,1.8,2.0,7.3,5.0,3.8,1.5,5.5,19.5,41.5,7.3,4.5,44.8,23.3,41.8,11.0,12.5,1142.4,108.7,28
18,,Poladpur,1051.1,130.0,267.3,240.7,69.0,78.3,105.0,25.7,18.3,41.7,35.7,34.3,31.0,14.7,5.0,2.7,7.3,5.3,6.7,10.7,4.0,0.0,10.0,42.0,24.0,16.7,10.7,34.7,11.0,31.0,30.0,31.0,1374.5,196.3,30
19,,Murud,700.2,148.3,131.0,41.7,19.0,18.3,38.3,4.7,9.7,20.3,14.3,8.7,33.3,4.3,0.0,0.0,0.0,0.0,4.0,3.7,1.3,2.0,8.3,18.3,26.7,5.3,4.7,42.0,77.0,48.7,7.3,2.3,743.5,99.7,24
20,,Shriwardhan,745.4,159.3,134.3,133.0,31.0,30.3,36.0,5.3,6.3,25.7,22.7,1.0,9.0,3.3,1.0,0.3,5.3,2.3,14.8,7.3,0.3,1.7,6.3,8.3,8.7,7.7,7.3,36.3,6.0,31.3,12.3,0.7,755.1,80.7,24
21,,Mahasala,935.6,171.0,218.3,151.1,82.4,60.3,66.0,15.9,32.6,37.3,26.5,17.0,20.0,10.3,3.5,2.6,5.0,5.8,10.0,23.5,0.5,8.5,26.5,19.9,15.6,6.1,9.6,19.6,12.1,17.1,13.7,12.1,1120.4,144.3,30
22,,Tala,776.4,156.5,135.0,109.5,72.0,86.0,61.0,16.5,26.0,24.0,25.5,28.5,12.5,15.5,2.5,3.0,5.5,4.5,7.0,11.5,1.0,10.0,13.0,33.5,38.0,17.5,11.0,33.0,20.5,21.0,7.5,14.0,1022.5,106.9,29
23,Ratnagiri,Chiplun,956.2,87.3,139.2,68.3,42.3,48.2,112.8,87.7,55.3,43.0,64.7,27.1,33.3,19.8,4.8,8.1,11.0,6.6,9.4,21.9,3.4,12.9,17.7,18.6,38.3,28.6,7.6,40.1,25.7,41.8,17.4,15.2,1158.1,120.8,31
24,,Dapoli,958.7,95.1,105.6,44.1,38.0,41.6,71.6,20.4,17.0,25.9,21.9,16.3,7.4,15.9,2.4,2.6,4.1,3.6,7.6,6.1,3.3,0.9,10.0,18.7,13.1,4.6,5.4,47.9,17.4,33.1,10.7,6.7,719,80.4,29
25,,Khed,894.2,88.7,120.3,74.4,40.3,40.4,102.4,59.1,33.1,37.9,44.4,30.0,22.9,19.0,8.1,2.7,4.9,4.7,6.0,5.9,4.0,3.6,9.0,19.0,18.0,8.6,4.3,38.0,29.4,46.0,26.3,32.3,983.7,290.9,31
26,,Guhagar,338.1,57.8,113.0,19.8,18.0,29.4,78.0,38.8,38.4,20.0,37.8,6.0,5.0,9.0,4.2,2.8,5.5,2.0,4.0,6.0,4.2,7.0,14.4,21.0,25.9,15.4,3.0,20.5,28.4,37.0,16.0,5.6,693.9,68.6,30
27,,Mandangad,1012.1,143.3,189.3,217.3,71.3,61.3,86.0,39.3,24.3,37.0,26.7,19.7,24.7,22.0,1.3,4.3,10.7,16.3,32.0,20.0,5.0,6.7,19.0,31.7,19.7,5.7,8.7,33.7,9.3,44.7,7.7,4.0,1242.7,196.1,30
28,,Ratnagiri,633.8,89.3,122.9,19.9,25.6,51.1,90.8,12.8,18.6,8.9,15.4,15.2,5.8,36.0,7.2,4.3,8.3,2.3,8.9,18.1,6.0,6.6,22.1,20.7,13.7,12.7,6.9,24.3,51.3,40.0,18.2,8.0,791.9,89.2,30
29,,Sangameshwar,888.1,75.5,133.1,55.3,35.9,53.3,163.4,30.9,47.4,16.5,39.5,17.1,20.9,27.3,3.8,4.0,8.2,1.9,11.0,17.8,3.3,10.4,15.7,22.9,27.6,13.6,1.6,24.3,22.8,18.9,13.6,9.6,947.1,109.6,29
30,,Rajapur,863.9,104.3,61.5,59.5,27.5,84.9,99.9,15.8,13.8,10.1,10.8,8.8,8.0,15.8,7.6,6.8,10.4,2.5,3.4,8.4,7.3,10.5,13.3,22.1,24.4,23.9,4.3,20.6,30.6,41.3,17.6,12.1,787.8,86,30
31,,Lanja,915.8,87.4,122.6,61.2,44.2,57.8,104.4,19.9,22.6,14.2,10.8,22.6,19.0,31.2,6.8,5.4,9.0,2.4,2.0,25.0,3.8,9.4,21.6,24.6,17.8,11.2,4.2,19.0,18.6,23.8,27.4,12.8,862.7,169.8,29
32,Sindhudurg,Devgad,508.2,57.5,29.5,22.0,19.0,58.2,51.0,9.7,14.3,4.5,3.7,7.3,10.3,13.8,6.8,5.4,8.5,1.5,3.0,10.2,2.2,12.2,7.2,24.3,28.8,15.0,2.3,12.0,30.7,20.2,19.3,6.5,516.9,107.2,28
33,,Malwan,482.4,49.1,65.7,6.9,22.7,13.1,42.6,11.6,6.1,4.4,3.3,6.4,5.0,9.7,4.9,5.6,8.0,5.7,3.0,5.0,2.7,9.1,4.0,8.1,41.1,19.3,5.0,6.4,10.1,16.7,14.0,7.9,423.2,51,31
34,,Sawantwadi,830.6,83.6,124.8,30.0,69.2,40.8,29.0,57.2,30.8,22.2,15.8,14.6,25.6,30.4,14.0,20.2,20.6,17.8,12.4,14.8,5.6,16.0,17.2,19.2,100.0,25.8,13.4,4.6,17.2,24.6,22.2,27.6,967.2,162.2,31
35,,Vengurla,596.4,48.5,58.4,11.6,12.0,8.4,14.0,8.8,4.8,8.7,2.8,4.3,4.0,3.2,0.8,4.3,3.7,6.9,2.8,1.6,0.0,7.4,6.5,7.6,71.2,16.4,4.9,0.0,5.8,11.1,8.3,5.5,354.3,39.4,27
36,,Kankawali,898.6,44.8,58.7,21.2,54.0,49.7,91.8,29.0,14.5,12.5,13.8,8.8,15.7,30.3,8.8,8.3,15.0,3.2,5.5,6.5,1.7,21.5,21.8,19.8,39.2,27.3,2.2,6.8,17.5,19.2,20.7,18.5,708.3,115.8,29
37,,Kudal,611.9,53.0,98.2,16.8,38.8,16.6,71.1,16.9,5.5,7.3,4.5,14.0,15.5,21.8,5.5,11.8,18.3,15.2,6.8,8.4,0.3,17.2,12.0,11.5,51.8,28.5,4.2,4.9,17.4,18.2,11.5,9.7,633.2,39.7,30
38,,Vaibhavwadi,1595.6,36.7,66.0,61.3,49.3,80.3,126.0,21.7,12.7,7.7,10.0,12.3,14.3,21.3,12.3,7.7,10.0,0.7,0.0,6.0,7.7,15.0,24.7,36.0,49.0,30.7,5.3,7.0,20.3,10.0,30.3,14.0,806.3,97.1,29
39,,Dodamarg,830.6,81.5,50.0,30.5,65.0,46.0,41.5,33.5,15.5,37.5,19.5,15.0,22.0,22.0,13.0,13.0,16.0,10.0,4.0,8.0,0.5,11.0,21.5,17.0,75.0,16.5,7.0,6.5,16.0,28.0,17.5,4.5,764.5,180.3,30
40,Palghar,Vasai,424.1,170.5,63.5,34.2,12.7,30.0,53.8,2.8,3.2,2.2,8.1,4.3,1.8,2.2,1.0,1.3,0.5,0.0,5.7,1.3,0.2,0.3,1.2,2.3,13.0,0.5,2.3,51.7,45.3,35.0,2.5,8.0,561.4,74,16
41,,Wada,759.1,155.3,170.0,79.8,65.5,57.8,90.3,25.3,10.0,11.3,28.3,11.5,5.3,9.5,0.5,0.3,0.3,0.0,5.3,2.5,0.8,6.5,7.3,10.5,18.0,1.8,3.8,29.5,6.1,24.0,6.3,11.0,854.4,176.2,24
42,,Dahanu,484.9,93.9,169.3,123.6,31.9,18.4,130.0,12.2,15.9,18.6,42.0,30.9,2.7,1.6,0.8,1.6,0.8,0.2,1.9,6.6,0.3,4.3,3.8,3.8,3.6,3.8,32.1,69.1,53.3,26.2,15.8,7.1,926.1,220.2,24
43,,Palghar,420.5,168.7,155.1,29.6,27.2,34.9,86.8,6.5,4.6,8.5,17.8,3.0,1.7,2.9,0.0,0.0,0.0,0.0,1.6,0.2,6.5,3.0,6.5,4.9,6.5,1.5,45.3,77.3,22.4,15.9,13.5,12.5,764.9,78.7,23
44,,Javhar,972.1,91.0,192.0,190.5,60.5,31.0,93.0,46.0,18.5,16.0,26.5,31.5,11.5,13.5,6.5,6.5,1.8,0.0,4.5,2.0,0.7,12.5,8.5,5.0,26.0,12.5,3.5,15.0,3.0,21.0,5.5,7.5,963.5,147.2,27
