Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total RainFall,%RainFall,Rainy Days
22,,Tala,630.3,0.0,0.0,0.0,0.0,51.5,0.0,0.0,0.0,0.0,0.0,15.5,2.5,8.5,7.5,0.0,4.0,0.0,5.0,10.0,80.5,20.5,43.5,6.0,92.0,102.0,137.0,57.0,97.5,113.0,56.0,909.5,116,18
23,Ratnagiri,Chiplun,783.9,0.0,0.0,17.9,5.8,19.0,1.2,0.0,0.0,15.2,10.0,22.9,3.7,7.4,3.2,12.4,3.2,0.0,35.8,10.2,32.7,13.2,19.8,30.2,110.2,79.9,74.6,45.3,66.6,88.1,60.4,788.9,86.7,24
24,,Dapoli,910.3,0.0,6.4,1.0,17.9,6.0,0.0,0.0,0.0,2.3,0.9,21.7,3.3,6.6,18.7,5.9,0.4,0.0,35.6,11.6,39.9,4.9,26.3,19.7,149.0,135.9,121.3,61.7,83.0,85.9,79.4,945.3,114.3,21
25,,Khed,827.2,0.0,9.9,1.5,17.3,3.3,0.0,0.0,0.0,29.0,0.0,24.0,0.8,5.3,12.9,3.0,1.0,0.0,18.3,7.9,28.4,10.6,22.6,10.3,129.3,67.6,83.6,27.6,63.7,74.9,68.1,720.9,103.5,21
26,,Guhagar,696.6,0.0,2.0,18.0,1.2,24.0,0.0,0.0,0.8,5.0,8.2,6.4,2.2,19.8,33.4,17.0,3.2,0.6,18.0,10.4,16.2,12.6,19.6,36.4,142.4,109.4,105.4,62.8,73.0,128.4,64.4,940.8,109.7,22
27,,Mandangad,858.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,18.7,0.0,3.3,10.3,12.7,1.0,1.0,28.0,16.7,42.4,6.2,10.0,6.4,95.3,179.7,101.0,22.0,73.3,61.7,44.9,756.6,91.7,18
28,,Ratnagiri,825.2,0.0,0.0,22.2,0.0,27.3,1.6,0.0,1.0,14.7,12.1,14.7,45.8,31.7,72.3,12.4,13.7,4.2,8.7,7.3,14.6,14.7,35.0,74.4,98.0,68.2,102.3,125.1,108.5,151.7,73.2,1155.4,147.5,24
29,,Sangameshwar,783.1,0.0,0.0,1.8,0.2,32.3,0.0,0.0,1.4,28.6,16.4,7.1,20.7,9.2,11.7,23.4,10.1,0.9,57.8,8.4,18.4,11.4,34.9,21.1,89.4,26.3,36.4,55.0,50.2,129.7,50.6,753.4,88.7,22
30,,Rajapur,849.2,0.1,0.1,4.6,1.9,14.9,1.8,0.0,6.4,9.6,37.1,15.5,24.5,45.5,15.3,9.6,15.1,2.5,10.4,10.3,10.4,17.8,31.0,64.4,68.0,43.4,43.3,62.8,94.8,110.4,83.0,854.5,103.2,24
31,,Lanja,828.0,0.0,0.0,8.4,1.0,47.8,0.0,0.0,5.8,35.6,23.2,2.2,20.2,26.2,32.0,9.6,8.4,0.8,13.8,4.6,12.0,10.0,9.4,31.2,43.4,40.8,38.0,52.6,84.6,112.0,87.0,760.6,103.5,23
32,Sindhudurg,Devgad,735.2,0.0,3.7,6.2,0.2,6.4,4.7,0.5,1.5,19.2,47.8,17.8,22.7,22.8,23.0,6.0,21.7,6.0,0.3,29.5,6.2,15.7,114.3,73.5,60.5,66.3,45.7,49.7,102.1,112.2,89.5,975.7,133.6,25
33,,Malwan,730.1,0.0,7.6,4.1,0.0,12.9,2.4,9.9,16.3,30.7,22.7,21.7,28.3,15.4,39.6,7.4,26.3,40.0,4.7,14.7,5.6,16.0,94.6,79.4,55.1,63.6,32.9,73.3,69.4,106.6,102.6,1003.8,99.5,27
34,,Sawantwadi,1008.7,0.0,0.2,20.4,0.2,0.0,1.4,22.0,10.2,32.6,67.8,15.8,26.2,24.2,24.2,17.0,46.8,0.6,11.0,6.8,11.0,18.4,50.6,49.4,74.4,88.2,18.0,88.8,121.0,181.0,82.4,1110.6,119.1,24
35,,Vengurla,932.8,0.0,0.0,1.0,0.0,0.0,0.0,24.1,8.8,22.6,24.6,20.7,25.9,12.5,54.5,14.2,55.1,5.8,1.9,9.1,9.0,10.6,72.9,58.1,57.2,84.5,36.5,90.0,110.7,126.4,66.3,1003,114.7,23
36,,Kankawali,874.2,0.0,0.0,11.4,3.0,12.1,0.0,4.5,12.6,52.9,39.5,11.5,25.3,22.5,6.5,15.0,31.2,8.0,20.5,20.8,14.9,12.4,51.5,24.6,59.0,24.2,30.4,60.5,67.4,138.6,103.0,883.8,100.3,27
37,,Kudal,881.4,0.0,3.7,3.7,0.3,4.4,0.2,12.0,50.0,60.0,28.0,24.5,17.3,17.2,25.2,15.2,25.0,0.3,9.3,9.7,10.2,25.7,44.0,34.2,65.8,52.2,22.8,64.3,78.7,129.7,88.3,921.9,80.9,26
38,,Vaibhavwadi,1138.9,0.7,0.3,7.3,8.3,35.0,0.7,0.0,0.0,16.0,29.0,8.7,28.0,18.3,11.7,18.0,16.0,1.7,6.7,6.7,12.3,6.3,34.7,17.7,41.0,23.7,21.0,76.0,77.3,91.7,82.3,697.1,69.1,24
39,,Dodamarg,1008.7,0.0,0.5,28.0,4.5,1.0,0.0,71.5,31.5,14.0,23.0,26.5,6.5,30.5,27.0,21.5,55.0,1.0,51.0,5.0,5.0,15.0,71.0,63.5,53.0,53.5,17.0,47.5,62.0,141.0,100.5,1027,215.8,25
40,Palghar,Vasai,475.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.0,0.0,0.0,17.2,16.5,11.5,10.4,60.7,109.0,83.2,36.5,59.1,72.2,6.1,483.3,109.3,11
