Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total RainFall,%RainFall,Rainy Days
1,Thane,Thane,961.6,0.0,2.8,38.0,60.0,124.0,0.0,8.0,0.0,28.2,17.2,11.2,27.0,13.0,78.8,152.2,66.0,23.0,26.8,26.0,16.2,53.2,31.8,83.0,59.9,13.0,12.4,22.8,11.1,0.0,1.2,1.8,1008.6,98.6,25
2,,Kalyan,1023.4,0.0,10.0,24.0,87.0,49.0,1.0,5.0,0.0,5.0,18.0,11.0,65.0,19.0,64.0,229.0,41.0,38.0,21.0,16.0,13.0,68.0,52.0,124.0,68.0,20.0,15.0,19.0,9.0,2.0,2.0,0.0,1095,113,25
3,,Murbad,968.9,0.0,7.0,1.0,52.0,2.4,2.2,0.0,0.0,51.0,65.0,2.2,14.0,6.2,81.0,178.0,42.0,63.1,33.0,12.1,16.5,75.0,43.0,100.2,81.5,18.2,8.8,22.0,16.0,1.0,2.2,1.2,997.8,103.3,21
4,,Bhivandi,965.8,0.0,1.0,25.0,109.6,38.0,5.0,1.0,4.0,6.0,66.0,6.0,24.0,24.0,38.0,174.0,40.0,27.0,62.0,31.0,10.0,47.0,70.0,77.0,50.0,15.0,14.0,8.0,18.0,7.0,2.0,0.0,999.6,90.7,26
5,,Shahapur,1102.4,0.2,3.2,11.0,24.0,5.0,29.0,5.0,4.5,2.5,35.0,13.1,25.0,6.0,43.0,98.2,140.0,36.0,82.6,73.0,16.6,138.0,98.0,278.6,165.0,14.0,17.7,106.0,8.0,4.0,10.0,0.4,1492.6,149.1,28
6,,Ulhasnagar,1001.4,1.0,12.6,46.8,42.4,36.8,0.0,5.0,1.0,3.2,25.1,14.1,33.2,30.0,134.0,197.2,29.0,37.3,39.2,24.4,24.0,93.3,34.6,92.0,75.0,14.2,14.4,18.4,16.2,4.2,4.2,3.0,1105.8,110.4,28
7,,Ambarnath,1001.4,0.0,9.1,30.5,18.6,22.0,0.0,1.2,2.0,3.0,19.4,7.0,15.2,10.2,73.4,98.6,20.0,22.0,24.6,19.4,10.0,44.4,17.4,45.6,40.0,12.6,6.6,12.6,10.4,3.6,2.2,2.2,603.8,83.5,25
8,Raigadh,Alibag,723.0,7.1,48.0,85.0,17.3,32.0,12.0,11.0,25.2,101.3,47.7,19.8,9.4,3.5,97.0,94.0,21.2,20.5,12.0,1.3,16.2,47.9,10.4,46.1,27.0,23.0,1.6,20.8,3.1,0.0,1.3,0.0,862.7,76.4,26
9,,Panwel,1128.9,0.0,18.0,49.0,27.6,128.0,10.4,4.6,7.4,17.2,66.4,8.0,54.4,4.2,128.0,231.6,60.0,18.4,35.0,18.0,17.0,55.0,56.3,52.0,47.0,22.5,6.0,39.2,16.8,1.0,0.4,1.0,1200.4,87.1,27
10,,Karjat,1378.2,22.8,11.2,34.0,14.8,13.3,1.0,4.2,0.2,20.0,42.0,10.0,68.0,12.0,171.0,298.0,119.0,34.0,40.0,19.0,24.0,76.0,73.0,77.5,119.5,49.5,19.0,34.0,40.5,5.0,2.0,2.5,1457,111.9,27
11,,Khalapur,1302.2,9.0,9.0,29.3,29.5,12.1,4.0,7.1,1.0,11.1,40.4,8.0,38.0,18.0,115.0,188.0,165.0,73.0,25.0,12.2,23.0,58.0,38.0,75.0,44.0,31.0,14.0,33.0,16.2,11.3,4.0,2.0,1144.2,150.1,29
