Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total RainFall,%RainFall,Rainy Days
1,Thane,Thane,334.4,5.0,13.0,5.0,63.4,21.0,150.0,39.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,4.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,372.6,123.5,11
2,,Kalyan,301.7,1.0,6.0,0.1,18.0,24.0,30.0,17.0,4.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,3.0,10.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,239.1,68.9,13
3,,Murbad,347.1,2.2,55.0,7.4,15.0,34.2,32.0,3.0,2.0,0.0,0.0,0.0,25.0,48.6,38.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,8.2,27.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,306.5,90.8,13
4,,Bhivandi,337.6,0.6,2.0,16.0,25.0,49.0,24.0,12.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,10.1,0.0,0.0,0.0,0.0,0.0,178.7,52.9,11
5,,Shahapur,338.1,0.0,0.0,1.8,10.0,23.0,14.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,88.4,29.3,9
6,,Ulhasnagar,301.9,0.0,21.0,30.0,17.6,18.6,22.5,6.8,3.0,0.0,0.0,0.0,0.0,10.2,29.4,2.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,67.0,45.4,0.0,0.0,0.0,0.0,0.0,0.0,300.5,99.5,12
7,,Ambarnath,301.9,4.0,20.0,4.0,14.6,20.0,25.0,13.9,4.2,0.0,0.0,0.0,0.0,20.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,32.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,243.9,77.9,13
8,Raigadh,Alibag,313.1,0.0,53.0,40.0,170.0,118.0,2.1,23.0,0.0,0.4,0.0,0.0,0.0,0.0,60.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.4,0.0,14.2,0.0,0.0,0.0,0.0,0.0,552.5,137.4,9
9,,Panwel,402.0,1.0,39.2,8.0,34.0,22.0,87.4,35.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4,37.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.2,69.1,9
10,,Karjat,436.0,1.0,75.2,1.0,10.0,23.0,91.1,17.5,5.0,1.5,1.0,0.0,15.0,1.0,2.0,16.0,0.0,0.0,0.0,0.0,2.0,0.0,10.0,21.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,295.7,64.5,10
