Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total RainFall,%RainFall,Rainy Days
1,Thane,Thane,534.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,15.4,8.0,19.1,11.0,39.3,21.1,16.3,89.2,114.3,53.0,2.2,17.2,1.6,37.3,30.0,6.4,113.8,64.0,147.0,806.3,169.1,17
2,,Kalyan,476.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,0.0,12.0,0.0,0.0,41.0,12.0,36.0,95.0,82.0,109.0,5.0,23.0,0.0,31.0,32.0,6.0,10.8,60.0,148.0,713.8,188.7,17
3,,Murbad,378.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,257.0,21.0,31.0,172.0,109.0,238.0,47.0,97.0,0.0,138.0,27.0,58.0,103.2,44.2,70.1,1415.5,300.1,15
4,,Bhivandi,471.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,2.0,0.0,11.0,8.0,15.0,108.0,103.0,90.0,5.0,13.0,3.0,34.0,13.0,15.0,90.0,33.0,118.0,670,162.3,16
5,,Shahapur,412.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,14.0,2.0,15.0,61.0,105.0,64.0,49.0,66.0,2.0,14.0,15.0,4.0,107.0,62.0,94.0,686,150.1,14
6,,Ulhasnagar,457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,1.6,3.6,4.2,0.0,1.4,18.4,2.4,17.2,57.4,48.2,72.3,9.2,23.6,1.2,17.4,19.6,2.4,63.4,28.8,59.6,452.7,99.1,14
7,,Ambarnath,457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,2.4,6.2,0.0,2.8,46.0,10.0,22.8,112.4,53.4,120.3,8.4,37.0,0.0,20.0,13.0,4.6,90.4,44.0,75.4,675.9,125,17
8,Raigadh,Alibag,540.8,0.0,0.0,0.0,0.0,0.0,48.4,79.7,109.7,5.0,2.7,19.9,70.7,78.6,0.0,0.4,14.3,34.5,33.5,39.1,104.0,55.1,20.8,3.5,0.0,11.0,68.7,13.8,63.1,110.2,28.6,1015.3,178.9,22
9,,Panwel,567.5,0.0,0.0,0.0,0.0,0.0,4.0,84.2,90.0,0.0,0.0,5.0,7.0,9.2,4.2,59.0,53.4,8.0,34.4,197.4,128.0,32.4,2.0,8.2,1.4,90.0,38.0,5.4,99.4,40.2,57.0,1057.8,192.8,21
10,,Karjat,548.7,0.0,0.0,0.0,0.0,0.0,16.0,47.0,52.8,0.0,0.0,15.4,8.6,8.4,0.0,3.5,18.4,26.3,34.5,193.7,63.6,48.5,25.5,98.3,6.8,42.6,19.2,6.0,84.2,46.3,50.7,916.3,162.6,22
11,,Khalapur,563.4,0.0,0.0,0.0,0.0,0.0,11.4,27.3,35.2,0.0,0.0,55.5,7.5,8.0,0.0,19.0,73.0,28.0,24.0,142.0,63.0,64.3,8.4,48.9,1.0,51.0,50.0,15.4,130.2,51.8,47.0,961.9,183.5,21
12,,Uran,524.2,0.0,0.0,0.0,0.0,0.0,22.9,86.2,63.4,0.0,0.0,6.0,6.0,0.0,4.0,0.0,12.8,2.0,16.8,83.0,46.2,13.2,4.2,0.0,0.0,19.2,26.0,5.0,72.8,20.0,13.8,523.5,71.2,18
13,,Sudhagad,735.6,0.0,0.0,0.0,0.0,0.0,24.2,44.3,55.0,0.0,0.0,9.0,5.5,20.5,0.0,0.0,25.0,101.0,57.4,146.0,120.0,71.2,28.2,29.4,1.5,53.1,43.2,5.0,90.7,101.0,39.0,1070.2,193.1,20
14,,Pen,554.1,0.0,0.0,0.0,0.0,0.0,6.8,6.2,46.2,0.0,0.0,0.0,6.2,5.2,0.0,8.2,31.4,17.2,25.4,75.4,41.2,14.6,9.2,1.2,1.2,38.2,11.8,1.2,61.4,47.2,28.2,483.6,74.3,18
15,,Mahad,651.0,0.0,0.0,0.0,0.0,0.0,13.1,46.2,26.5,0.0,0.0,10.2,11.1,27.4,0.0,0.0,22.6,26.0,22.3,42.5,69.3,52.2,110.9,139.6,11.2,18.5,43.6,9.2,48.1,88.6,84.5,923.6,146.5,21
16,,Mangaon,630.3,0.0,0.0,0.0,0.0,0.0,9.0,39.0,33.0,0.0,0.0,0.0,26.0,9.0,10.7,0.0,100.0,22.0,54.0,105.0,65.0,108.0,58.0,99.0,0.0,34.5,35.0,10.0,93.3,97.0,25.0,1032.5,146.5,20
17,,Roha,704.9,0.0,0.0,0.0,0.0,0.0,47.0,36.0,55.0,0.0,0.0,0.0,13.2,32.8,0.0,0.0,70.0,8.0,58.0,118.0,87.0,107.0,83.0,30.0,3.2,102.2,58.6,10.0,101.0,90.0,55.2,1165.2,159.9,20
18,,Poladpur,728.6,0.0,0.0,0.0,0.0,0.0,11.8,90.2,25.0,0.0,0.0,15.0,11.0,13.0,1.3,0.0,25.4,26.0,33.3,91.0,21.0,248.0,137.4,109.0,2.0,41.0,58.0,8.7,92.0,98.0,64.0,1222.1,184,20
19,,Murud,664.2,0.0,0.0,0.0,0.0,0.0,18.7,61.3,49.0,0.0,0.0,0.0,72.0,14.3,0.0,0.0,32.0,5.1,55.0,28.4,88.2,88.4,21.0,7.0,1.0,19.4,121.0,23.2,107.0,71.0,8.3,891.3,97.8,19
20,,Shriwardhan,911.6,0.0,0.0,0.0,0.0,0.0,18.2,121.0,14.4,0.0,0.0,0.0,24.2,9.1,28.1,0.0,33.0,25.2,49.2,29.1,68.2,132.2,3.1,41.2,0.0,5.0,105.2,25.2,101.0,38.2,34.2,905,112.6,20
21,,Mahasala,803.5,0.0,0.0,0.0,0.0,0.0,17.2,101.2,29.6,0.0,0.0,0.0,12.4,20.8,0.8,3.2,118.0,35.4,85.4,43.8,66.4,121.4,30.2,44.8,9.3,177.4,83.4,8.2,119.4,101.5,46.2,1276,202.4,21
22,,Tala,630.3,0.0,0.0,0.0,0.0,0.0,23.0,60.0,65.0,0.0,0.0,0.0,25.0,84.0,0.0,0.0,32.0,12.0,110.0,89.0,78.0,79.0,30.0,52.2,3.0,83.0,104.0,16.0,132.0,76.0,62.0,1215.2,155,20
23,Ratnagiri,Chiplun,783.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,12.0,7.0,3.0,74.0,23.0,106.0,55.0,108.0,64.0,23.0,57.0,7.0,16.0,94.0,8.0,88.0,21.0,125.0,894,98.2,18
24,,Dapoli,910.3,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,2.6,0.0,2.2,3.4,8.5,0.0,0.0,171.0,26.2,58.0,12.2,104.6,104.0,7.0,1.0,5.2,15.0,196.2,14.7,91.1,60.5,74.7,958.5,115.9,17
25,,Khed,827.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,0.0,12.0,49.0,72.0,93.0,47.0,112.0,101.0,297.0,69.0,0.0,48.0,41.0,9.0,139.0,80.0,167.0,1371,196.8,17
26,,Guhagar,696.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,22.0,22.0,2.0,58.0,60.0,92.0,32.0,125.0,40.0,6.0,10.0,5.8,19.5,18.0,17.0,93.0,3.0,80.0,709.3,82.7,17
27,,Mandangad,858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,0.0,0.0,34.8,91.2,49.8,36.0,64.2,70.4,237.8,57.4,109.2,1.2,71.4,168.8,24.0,75.8,91.0,92.2,1300.4,157.6,16
28,,Ratnagiri,825.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.2,8.6,24.6,10.7,22.6,26.3,30.8,36.2,18.9,141.9,141.0,0.2,2.7,10.0,7.2,106.1,23.7,8.3,58.1,98.3,781.4,99.8,19
29,,Sangameshwar,783.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,12.0,16.0,38.0,41.0,30.0,29.0,75.0,77.0,128.0,135.0,8.0,26.0,45.0,4.0,42.0,56.0,122.0,890,104.8,18
30,,Rajapur,849.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,20.0,12.0,49.0,32.0,35.0,38.0,28.0,92.0,12.0,14.0,26.0,43.0,14.0,53.0,12.0,52.0,37.0,49.0,623.5,75.3,19
31,,Lanja,828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,34.0,31.0,30.0,21.0,29.0,20.0,53.0,51.0,5.0,34.0,4.0,7.0,28.0,14.0,12.0,39.0,57.0,478,65,19
32,Sindhudurg,Devgad,735.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,5.0,31.0,34.0,26.0,34.0,19.0,34.0,29.0,13.0,152.0,77.0,18.0,9.0,10.0,8.0,18.0,12.0,5.0,30.0,64.0,648,88.8,21
33,,Malwan,730.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,2.0,10.0,52.0,54.0,80.0,27.0,27.0,60.0,20.0,148.0,115.0,101.0,5.0,7.0,11.0,32.0,58.0,11.0,18.0,91.0,939,93.1,21
34,,Sawantwadi,1008.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,27.0,56.0,62.0,28.0,89.0,95.0,24.0,100.0,108.0,117.0,18.0,20.0,8.0,60.0,10.0,18.0,10.0,70.0,944,101.2,20
35,,Vengurla,932.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,35.2,36.4,99.4,20.0,85.8,65.4,24.8,118.6,112.2,15.4,3.0,1.6,20.6,91.6,5.6,21.0,10.2,136.8,921,105.4,18
36,,Kankawali,874.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,21.0,2.0,47.0,17.0,22.0,15.0,19.0,47.0,95.0,36.0,11.0,30.0,0.0,13.0,10.0,9.0,40.0,22.0,469,53.2,17
37,,Kudal,881.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,44.0,35.0,71.0,27.0,35.0,80.0,41.0,63.0,86.0,73.0,24.0,32.0,7.4,45.3,13.0,28.0,39.0,79.0,828.7,72.8,19
38,,Vaibhavwadi,1138.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,9.0,1.0,20.0,5.0,6.0,50.1,26.0,46.0,26.0,42.2,56.0,41.5,61.0,120.0,18.0,3.0,26.0,8.0,36.0,120.0,44.0,765,75.8,20
39,,Dodamarg,1008.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,26.0,26.5,48.0,71.2,30.0,47.0,86.0,40.0,89.0,100.0,93.0,58.3,12.2,6.0,84.0,4.3,5.3,20.0,49.0,912.8,191.8,20
40,Palghar,Vasai,475.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,7.0,51.0,54.0,8.0,19.0,31.0,43.0,147.0,151.0,22.0,3.0,5.0,2.0,41.0,82.0,58.0,158.0,108.0,113.0,1108,250.6,19
41,,Wada,442.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.4,1.2,0.0,0.0,30.2,3.1,3.5,28.0,61.5,11.2,50.0,33.2,1.2,18.0,9.0,24.1,61.0,80.0,84.5,506.1,112,16
42,,Dahanu,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,2.9,13.5,20.8,17.4,7.6,26.2,40.6,80.3,82.1,28.9,0.8,0.2,1.2,2.9,67.3,24.5,16.6,101.9,20.9,569.4,140.5,17
43,,Palghar,405.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,6.0,36.0,12.2,0.8,9.3,22.3,23.5,50.5,132.0,42.0,0.0,0.0,0.2,4.0,62.0,7.8,49.6,27.2,90.8,585.4,129,16
44,,Javhar,453.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.8,0.6,5.2,35.4,8.4,16.8,86.4,40.6,122.2,86.0,54.0,2.0,4.8,2.8,16.2,86.3,58.8,78.8,717.1,220.9,16
45,,Mokhada,324.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,1.8,0.0,2.2,39.8,3.2,9.7,68.6,12.1,138.8,92.6,73.1,1.2,15.0,2.4,3.8,68.8,38.5,86.7,665.2,164.1,14
46,,Talasari,405.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,68.6,31.5,30.9,41.0,30.8,40.3,0.0,11.3,10.0,4.3,1.5,52.2,94.0,46.5,466,102.7,13
47,,Vikramgad,453.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.2,3.4,3.4,53.2,14.2,6.8,18.5,84.0,73.5,49.3,82.2,47.0,1.0,8.3,46.0,13.8,66.2,46.6,88.6,709.9,693.9,18
48,Nasik,Malegaon,102.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.2,3.0,0.0,0.0,8.0,0.0,0.0,0.1,0.1,3.5,0.0,1.2,0.0,0.0,13.2,0.0,0.0,0.0,0.2,0.0,0.0,46.5,46.6,5
49,,Baglan,99.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,3.0,5.0,0.0,7.0,8.0,0.0,0.0,31.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,75,62.2,7
50,,Kalwan,120.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - ,0.0,33.0,0.0,8.0,0.0,14.0,13.0,23.0,51.0,16.0,0.0,0.0,4.0,14.0,2.0,178,164.1,9
51,,Nandgaon,108.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,0.0,13.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,3.0,2.0,0.0,2.0,0.0,0.0,84,53.1,6
52,,Surgana,158.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,54.0,0.0,1.0,0.0,17.0,7.0,37.0,79.0,66.0,54.0,32.0,7.0,1.0,3.0,12.0,29.0,411,439.6,14
53,,Nasik,93.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.2,8.0,0.0,16.8,5.0,36.0,80.2,18.0,16.2,3.0,1.0,0.0,8.0,8.0,29.0,265.4,232.4,12
