Sr,District,Taluka,Circle,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total RainFall,%RainFall,Rainy Days
1,Nasik,Malegaon,Malegaon,121.8,0.0,2.0,2.0,18.0,11.0,5.0,0.0,1.0,0.0,0.0,0.0,33.0,0.0,65.0,0.0,0.0,3.0,0.0,0.0,8.0,105.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,257,208.3,9
2,,Baglan,Satana,123.4,0.0,0.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,9.0,5.0,23.0,19.0,4.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,138,88.1,9
3,,Kalwan,Kalwan,156.6,0.0,0.0,4.0,12.0,0.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,62.0,15.0,10.0,27.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156,110.6,9
4,,Nandgaon,Nandgaon,141.0,0.0,0.0,3.0,5.0,3.0,4.0,0.0,5.0,0.0,0.0,0.0,8.0,16.0,2.0,0.0,0.0,0.0,0.0,2.0,22.0,68.0,0.0,5.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,154,47.6,12
5,,Surgana,Surgana,323.6,13.0,9.0,0.0,4.0,2.0,5.0,5.0,15.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,80.0,10.0,42.0,36.0,34.0,0.0,0.0,1.0,4.0,6.0,0.0,0.0,273,168.2,14
6,,Nasik,Nasik,162.3,0.0,5.0,14.0,0.0,0.0,12.0,3.0,4.3,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,103.4,8.0,0.0,0.0,34.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,197.1,137.7,10
7,,Dindori,Dindori,143.1,1.5,0.0,3.0,0.0,0.0,1.5,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,8.0,1.0,1.0,34.0,0.0,1.0,8.0,1.0,2.0,0.0,0.0,95,20.5,6
8,,Egatpuri,Igatpuri,463.4,48.0,10.0,11.0,13.0,33.0,59.0,38.0,15.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,5.0,1.0,93.0,23.0,3.0,3.0,22.0,14.0,0.0,5.9,1.0,10.0,22.0,0.0,437.9,129.9,19
9,,Peth,Peth,337.1,15.0,5.0,5.0,0.0,6.0,32.0,15.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0, - ,0.0,0.0,89.0,4.0,8.0,1.0,23.0,0.0,1.0,10.0,3.0,13.0,5.0,0.0,249,197,15
10,,Niphad,Niphad,126.4,0.0,0.0,17.2,0.0,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,19.4,40.0,26.2,3.0,18.5,19.0,0.0,0.0,0.0,11.0,0.0,0.0,180.3,123.7,10
11,,Sinnar,Sinnar,145.8,0.0,0.0,10.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,82.0,11.0,2.0,0.0,30.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,167,134.2,8
12,,Yevla,Yeola,124.4,0.0,0.0,42.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,16.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,34.0,5.0,0.0,24.0,0.0,0.0,0.0,5.0,12.0,0.0,213,154.9,10
13,,Chandwad,Chandwad,137.5,0.0,2.0,13.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,15.0,75.0,61.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,204,60.5,7
14,,Trimbakeshwar,Tryambakeshwar,337.1,14.0,5.0,5.0,3.0,4.0,50.0,17.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,36.0,0.0,0.0,7.0,0.0,0.0,45.0,3.0,3.0,0.0,0.0,294,219.9,14
15,,Devali,Devala,133.7,0.0,0.0,12.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,35.0,11.0,20.0,0.0,44.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,145,108.5,8
