Sr,District,Taluka,Circle,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total RainFall,%RainFall,Rainy Days
1,Nasik,Malegaon,Malegaon,104.4,0.0,0.0,0.0,0.0,10.0,16.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,9.0,40.0,0.0,54.0,2.0,4.0,162,164.6,8
2,,Baglan,Satana,98.4,0.0,0.0,0.0,0.0,5.0,39.0,0.0,0.0,40.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,70.0,82.0,0.0,31.0,0.0,0.0,284,174.2,8
3,,Kalwan,Kalwan,163.0,0.0,0.0,0.0,4.0,3.2,44.8,3.0,4.0,60.0,6.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,5.0,12.0,1.0,0.0,168,155.6,13
4,,Nandgaon,Nandgaon,108.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,15.0,16.5,8.0,0.0,8.0,38.0,0.0,2.0,20.0,4.0,0.0,0.0,122.6,22.3,8
5,,Surgana,Surgana,550.2,0.0,0.0,2.0,0.0,27.0,124.0,23.0,36.0,179.0,27.0,6.0,18.0,8.0,7.0,9.0,2.0,3.0,7.0,4.0,3.0,3.0,2.0,1.0,0.0,2.0,48.0,8.0,0.0,21.0,51.0,8.0,629,466.3,21
6,,Nasik,Nasik,134.9,1.0,3.4,0.0,1.0,8.0,40.0,12.3,9.1,30.0,3.2,0.0,4.0,1.0,5.5,1.2,0.0,0.0,3.1,0.0,1.0,3.0,1.0,0.3,0.0,0.0,9.0,5.2,0.0,28.4,1.0,0.3,172,94.5,14
7,,Dindori,Dindori,182.1,0.0,2.0,0.0,0.0,5.0,31.5,8.0,12.0,62.5,7.0,4.0,3.0,1.0,5.0,3.0,3.0,1.0,2.0,0.0,6.5,0.0,1.5,0.0,0.0,5.0,6.0,1.5,0.0,15.0,1.5,0.0,187,17.7,15
8,,Egatpuri,Igatpuri,1057.4,7.0,14.0,6.0,31.0,107.0,163.0,61.0,98.0,94.0,54.0,26.0,64.0,21.0,40.0,22.0,10.0,6.0,37.0,11.0,22.0,67.0,24.0,7.0,1.0,0.0,60.0,1.0,30.0,65.0,30.0,30.0,1209,183.2,28
9,,Peth,Peth,660.0,4.0,1.0,7.0,19.0,34.0,91.0,72.0,65.0,187.0,22.0,11.0,26.0,6.0,7.0,4.0,5.0,2.0,12.0,12.0,17.0,6.0,10.0,6.0,2.0,1.0,14.0,75.0,0.0,8.0,21.0,12.0,759,921.1,26
10,,Niphad,Niphad,82.4,0.0,0.0,0.0,0.0,3.7,17.0,6.0,8.0,18.0,5.2,0.0,5.4,1.0,5.3,2.0,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,25.0,23.0,27.4,0.0,4.3,0.0,0.0,158.7,151.9,13
11,,Sinnar,Sinnar,104.5,0.0,0.0,0.0,0.0,3.0,8.0,4.0,9.0,13.0,6.0,0.0,2.0,2.0,1.0,1.0,3.0,0.0,2.0,0.3,0.0,2.7,0.0,0.0,0.0,6.0,11.0,2.0,6.0,2.0,4.5,0.0,88.5,108.9,12
12,,Yevla,Yeola,81.3,0.0,0.0,0.0,14.0,13.0,4.0,1.0,4.0,4.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,39.0,4.0,0.0,4.0,1.0,0.0,100,83.3,11
13,,Chandwad,Chandwad,120.0,7.0,0.0,0.0,0.0,0.0,15.0,1.0,11.0,50.0,7.0,0.0,2.0,0.0,2.2,1.2,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,20.2,14.0,24.3,15.0,0.0,8.0,190.9,28.9,11
14,,Trimbakeshwar,Tryambakeshwar,660.0,0.0,4.0,0.0,13.0,25.0,122.0,38.0,67.0,184.0,48.0,19.0,43.0,21.0,38.0,15.0,21.0,3.0,25.0,0.5,17.0,16.0,21.0,18.0,8.0,2.0,27.0,16.0,20.0,40.5,27.0,11.0,910,736.2,27
15,,Devali,Devala,123.6,6.0,0.0,0.0,0.0,0.0,25.0,0.0,3.0,40.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,50.0,0.0,15.0,0.0,0.0,152,123,9
