Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total RainFall,%RainFall,Rainy Days
137,,Mahableshwar,43.4, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,0,0,0
138,Sangli,Miraj,38.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7,0.0,1.9,0.1,8.1,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - ,19.2,64.2,2
139,,Jath,29.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,3.3,2.8,7.3,0.0,0.0,3.2,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - ,21.9,100.5,5
140,,Khanapur vita,21.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,0.0,0.0,0.0,7.0,16.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - ,50.8,157.8,3
141,,Valva eslampur,32.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,13.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - ,25.2,74.6,2
142,,Tasgaon,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,0.0,0.8,4.1,10.2,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - ,47.6,131.5,4
143,,Shirala,36.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - ,20.8,67.1,1
144,,Atpadi,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,7.7,17.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - ,29.7,129.1,3
145,,Kavthemahankal,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.4,10.1,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - ,28.9,85.5,2
146,,Palus,33.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,1.8,0.3,10.0,17.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - , - ,0.0, - ,33.7,154.6,3
147,,Kadegaon,21.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,8.9,19.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - ,28.9,91.2,2
148,Kolhapur,Hatkanangle,31.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,25.3,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,84.8,2
149,,Shirol,39.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,13.3,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.9,98,2
150,,Panhala,35.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,87,1
151,,Shauwadi,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,28.5,1
152,,Radhanagari,42.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,15.7,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,49,2
153,,Bavda,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,69.7,1
154,,Karveer kolhapur,40.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,16.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,44.4,1
155,,Kagal,40.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,9.3,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,68.1,2
156,,Gadhinglaj,36.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,22.3,6.3,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.6,107.4,3
157,,Bhudargad,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,26.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.6,124.3,3
158,,Ajara,36.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,16.5,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,99.3,3
159,,Chandgad,41.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.8,30.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.5,155.4,2
160,Aurangabad,Aurangabad,26.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,18.5,7.8,0.6,0.6,0.0, - , - , - , - , - , - , - , - , - , - , - ,27.6,287.5,2
161,,Paithan,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.1,2.5,6.9,0.4,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - , - ,34.9,311.6,2
162,,Gangapur,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.3,3.3,1.3,3.0,1.1, - , - , - , - , - , - , - , - , - , - , - ,32,164.1,3
163,,Vaijapur,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,2.4,7.2,2.7,0.7, - , - , - , - , - , - , - , - , - , - , - ,24.5,87.8,3
164,,Kannad,27.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,30.5,0.4,11.3,0.4,0.0, - , - , - , - , - , - , - , - , - , - , - ,42.9,306.4,2
165,,Khultabad,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0.0,14.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,23.7,112.3,2
166,,Sillod,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.8,24.1,0.0,7.9,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - ,34.6,198.9,2
