Sr,District,Taluka,Circle,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total RainFall,%RainFall,Rainy Days
1,Nasik,Malegaon,Malegaon,102.3,0.0,2.0,29.1,0.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,3.0,38.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - ,0.0,36.0,0.0,0.0,160,160.3,7
2,,Baglan,Satana,99.8,0.0,5.0, - ,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,18.0,0.0,3.0,2.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - ,5.0,6.0,0.0,0.0,62,51.4,6
3,,Kalwan,Kalwan,120.6,0.0,8.0, - ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,23.0,52.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - ,22.0,28.0,0.0,0.0,142,130.9,7
4,,Nandgaon,Nandgaon,108.5,0.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,3.0,6.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - ,2.0,31.0,5.0,0.0,131,82.8,8
5,,Surgana,Surgana,158.3,0.0,1.0, - ,0.0,0.0,0.0,35.0,1.0,0.0,13.0,4.0,0.0,0.0,0.0,0.0,54.0,32.0,0.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0, - ,10.0,20.0,19.0,0.0,249,266.3,10
6,,Nasik,Nasik,93.5,0.0,34.0, - ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,31.0,0.0,0.0,3.0,44.0,40.0,22.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0, - ,0.0,3.0,0.0,0.0,199.3,174.5,9
7,,Dindori,Dindori,114.2,0.0,6.0, - ,0.0,0.0,0.0,0.0,4.0,0.0,24.0,10.0,8.0,0.0,1.5,0.0,27.0,69.0,28.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0, - ,5.0,4.0,0.0,0.0,194.5,41.8,11
8,,Egatpuri,Igatpuri,465.0,0.0,32.0,11.0,0.0,2.0,0.0,12.0,5.0,0.0,1.0,57.0,32.0,0.0,0.0,27.0,40.0,147.0,0.0,30.0,3.0,0.0,0.0,2.0,31.0,41.0, - ,0.0,11.0,14.0,10.0,508,195,16
9,,Peth,Peth,260.5,0.0,22.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,12.0,3.0,1.0,0.0,0.0,1.0,57.0,26.0,11.0,11.0,27.0,0.0,0.0,0.0,0.0,2.0, - ,4.0,3.0,1.0,2.0,190,189.1,11
10,,Niphad,Niphad,100.5,0.0,6.0, - ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,9.0,3.0,31.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - ,0.0,0.0,2.0,0.0,134,150.1,6
11,,Sinnar,Sinnar,89.3,0.0,6.2, - ,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.2,37.0,0.0,2.0,10.2,56.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - ,0.0,1.0,0.0,0.0,163.6,145.6,6
12,,Yevla,Yeola,112.4,0.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,0.0,38.0,27.0,41.0,49.0,26.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - ,0.0,17.0,0.0,0.0,247.2,213.7,10
13,,Chandwad,Chandwad,115.7,0.0,5.0, - ,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.0,1.0,14.0,43.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - ,0.0,0.0,0.0,0.0,108,41.5,5
14,,Trimbakeshwar,Tryambakeshwar,260.5,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,9.0,0.0,0.0,12.0,23.0,55.0,12.0,2.0,11.0,0.0,0.0,0.0,0.0,0.0, - ,0.0,4.0,0.0,0.0,158,136.9,9
15,,Devali,Devala,115.4,0.0,7.0, - ,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,3.0,0.0,26.0,0.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - ,15.0,30.0,0.0,0.0,117,101.4,8
