Sr,District,Taluka,Circle,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total RainFall,%RainFall,Rainy Days
1,Nasik,Malegaon,Malegaon,121.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,8.0,13.0,11.0,142,115.1,7
2,,Baglan,Satana,123.4,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,66,42.1,5
3,,Kalwan,Kalwan,156.6,1.0,1.0,0.0,0.0,3.0,3.0,0.0,3.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,14.0,0.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,56,39.7,7
4,,Nandgaon,Nandgaon,141.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,36.0,0.0,0.0,0.0,0.0,0.0,18.0,38.0,0.0,0.0,0.0,2.0,20.0,152,47,9
5,,Surgana,Surgana,323.6,20.0,4.0,2.0,5.0,9.0,17.0,2.0,79.0,39.0,14.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,3.0,24.0,14.0,252,155.3,13
6,,Nasik,Nasik,162.3,5.0,1.0,1.0,0.0,0.0,25.0,1.0,5.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,3.0,2.0,0.0,0.5,8.0,3.0,14.0,95.5,66.7,10
7,,Dindori,Dindori,143.1,5.0,2.0,2.0,16.0,1.0,3.0,3.0,9.0,15.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,21.0,89,19.2,8
8,,Egatpuri,Igatpuri,463.4,77.0,23.0,6.0,16.0,11.0,78.0,34.0,26.0,34.0,30.0,0.0,9.0,0.0,0.0,12.0,0.0,24.0,19.0,0.0,0.0,7.0,20.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,7.0,453,134.4,19
9,,Peth,Peth,337.1,32.0,10.0,6.0,16.0,1.0,24.0,9.0,55.0,24.0,25.0,2.0,2.0,0.0,0.0,0.0,0.0,16.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,50.0,297,235,13
10,,Niphad,Niphad,126.4,2.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,28.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,19.0,69,47.3,5
11,,Sinnar,Sinnar,145.8,3.0,5.0,1.0,0.0,0.0,19.0,3.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,16.0,5.0,0.0,4.0,0.0,0.0,20.0,1.0,12.0,124,99.7,11
12,,Yevla,Yeola,124.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,10.2,2.0,0.0,0.0,0.0,37.4,4.0,0.0,0.0,0.0,3.0,43.0,162.6,118.3,8
13,,Chandwad,Chandwad,137.5,2.0,1.0,0.0,0.0,0.0,6.0,1.0,3.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,0.0,3.0,0.0,3.0,2.0,0.0,33.0,3.0,0.0,0.0,0.0,2.0,97,28.8,9
14,,Trimbakeshwar,Tryambakeshwar,337.1,20.0,11.0,3.0,8.0,5.0,36.0,3.0,14.0,61.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,22.0,0.0,0.0,25.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,39.0,260,194.5,15
15,,Devali,Devala,133.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,8.0,3.0,0.0,13.0,14.0,0.0,0.0,0.0,0.0,55,41.1,6
