Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total RainFall,%RainFall,Rainy Days
1,Thane,Thane,637.2,7.9,3.8,6.7,8.9,2.2,2.3,1.8,4.7,0.9,6.8,6.3,7.2,16.5,35.4,51.4,17.1,7.8,2.3,9.5,73.7,112.9,6.8,1.5,3.4,10.7,47.5,35.1,38.6,106.7,191.5,18.5,846.4,129.7,25
2,,Kalyan,652.7,13.8,9.4,10.3,7.6,0.6,0.4,0.0,26.6,1.7,18.4,4.2,15.8,14.0,34.6,116.8,24.3,1.2,3.2,12.2,33.4,137.4,8.9,1.8,3.9,4.6,90.7,65.3,62.6,120.4,90.6,31.0,965.7,152.2,25
3,,Murbad,634.3,22.0,9.8,4.2,5.6,2.2,3.6,6.6,13.4,3.8,20.8,20.8,13.0,20.2,46.2,39.6,10.6,8.4,15.2,24.0,50.0,134.0,9.2,0.4,21.4,10.4,86.8,24.4,33.0,65.0,49.6,13.7,787.9,121.9,29
4,,Bhivandi,646.4,13.5,5.0,7.5,1.5,0.3,0.0,1.7,5.2,0.0,3.5,2.3,4.0,5.3,38.0,58.3,17.0,1.7,1.5,12.3,45.3,121.3,7.0,0.8,1.0,3.8,106.8,85.3,51.5,112.3,83.2,14.8,811.7,115.4,21
5,,Shahapur,703.2,30.1,24.3,14.5,15.7,1.3,2.0,3.4,8.6,2.5,19.0,19.9,26.0,9.4,36.2,31.8,13.5,4.9,3.1,18.7,60.2,126.4,26.8,3.8,8.7,17.5,88.9,26.3,55.5,89.1,59.6,23.3,871,144.1,28
6,,Ulhasnagar,604.3,13.0,10.0,19.0,7.0,1.0,0.0,3.0,6.0,0.0,18.0,22.0,19.0,16.0,62.0,57.0,31.0,1.0,0.0,27.0,42.0,132.0,5.0,1.0,8.0,4.0,90.0,142.0,66.0,130.0,127.0,32.0,1091,180.5,25
7,,Ambarnath,604.3,14.9,6.0,11.3,5.2,0.6,1.1,2.2,3.6,0.4,11.5,10.4,16.5,24.6,48.7,76.0,17.5,2.6,0.0,6.8,38.4,130.3,7.7,0.0,3.5,12.8,74.3,109.6,93.4,120.5,91.9,16.8,959.1,200.1,25
8,Raigadh,Alibag,479.4,21.3,11.1,10.1,8.7,2.6,2.1,0.0,3.4,4.4,6.1,10.1,10.9,2.6,3.7,28.3,7.7,7.6,1.6,2.6,18.3,80.6,14.6,2.0,1.0,8.6,52.3,42.1,48.4,194.7,126.6,5.9,740,93.6,26
9,,Panwel,790.4,21.9,12.6,6.8,7.8,2.4,1.9,0.7,1.6,0.6,11.4,8.7,13.6,7.2,13.2,24.7,18.7,6.2,5.1,35.7,57.9,98.5,7.9,1.8,4.7,29.0,83.5,61.8,67.7,105.4,80.9,11.2,811.1,86.5,25
10,,Karjat,937.6,43.3,26.4,11.7,20.3,2.5,2.3,3.4,4.5,5.0,18.9,27.1,17.4,12.3,24.1,48.3,10.3,17.4,8.5,12.8,68.4,93.9,8.7,4.5,7.5,32.9,72.0,63.3,62.1,92.7,106.9,20.8,950.2,92.6,29
