Sr,District,Taluka,Circle,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total RainFall,%RainFall,Rainy Days
1,Nasik,Malegaon,Malegaon,121.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,6.0,0.0,0.0,37.0,18.0,0.0,0.0,2.0,0.0,6.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,82,67.3,7
2,,,Dabhadi,121.8,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,33.0,3.0,8.0,12.0,25.0,0.0,0.0,1.0,0.0,6.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,101,82.9,8
3,,,Wadner,121.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.2,3.8,24.8,16.4,2.8,25.8,0.0,0.0,0.0,0.0,0.0,2.8,3.5,0.0,0.0,0.0,0.0,0.0,0.0,83.1,68.2,8
4,,,Karanjgavhan,121.8,7.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,16.0,33.0,1.0,0.0,3.0,0.0,7.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,90,73.9,8
5,,,Zodga,121.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,3.4,0.0,0.0,0.0,0.0,0.0,68.2,24.0,2.2,0.0,0.0,0.0,4.6,2.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,110.2,90.5,5
6,,,Kalwadi,121.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,6.0,0.0,0.0,0.0,19.0,24.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75,61.6,6
7,,,Kaulane,121.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.3,0.0,2.0,42.0,22.6,0.0,0.0,2.0,0.0,6.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,93.4,76.7,6
8,,,Saudane,121.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,17.0,4.0,0.0,0.0,8.0,13.0,0.0,0.0,0.0,0.0,5.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,100,82.1,8
9,,,Sayane,121.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,9.0,0.0,40.0,16.0,0.0,0.0,11.0,1.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,101,81.8,8
10,,Baglan,Satana,123.4,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,14.0,0.4,3.2,2.0,20.0,21.8,3.6,26.6,0.0,0.0,0.0,0.0,2.0,10.0,28.2,2.4,0.0,0.0,0.0,0.0,0.0,137.8,111.7,9
11,,,Brahmangaon,123.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.5,2.0,24.0,5.0,19.0,23.2,13.0,10.5,0.0,0.0,0.0,0.0,13.3,7.5,9.7,2.6,0.0,0.0,0.0,0.0,0.0,156.3,126.7,11
12,,,Nampur,123.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,22.8,2.8,1.2,0.0,1.8,2.2,1.2,34.0,0.0,0.0,2.2,0.0,5.0,6.8,11.4,0.0,0.0,0.0,0.0,0.0,0.0,105.4,85.4,7
13,,,Jaikheda,123.4,0.0,0.6,0.0,0.0,0.0,0.6,0.4,0.0,0.0,4.0,35.4,3.6,0.0,24.0,10.2,0.0,35.6,1.2,0.0,0.0,0.0,1.4,9.4,30.0,0.8,0.0,0.0,0.0,0.0,0.0,157.2,127.4,8
14,,,Virgaon,123.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.2,0.0,2.0,2.3,13.2,2.1,42.0,0.0,0.0,0.0,0.0,2.7,5.9,11.9,2.0,0.0,0.0,0.0,0.0,0.0,107.8,87.4,6
15,,,Dangsaudane,123.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.4,0.0,0.0,0.0,20.0,21.8,0.0,28.3,16.5,0.0,0.0,0.0,4.6,9.8,53.4,8.4,0.0,0.0,0.0,0.0,0.0,164.2,133.1,8
16,,,Mulher,123.4,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,1.2,5.8,20.0,20.6,25.2,11.0,24.8,5.8,14.4,0.0,0.0,0.0,0.0,6.6,18.0,7.8,2.4,0.0,0.0,0.0,0.0,0.0,166.4,134.8,12
17,,,Taharabad,123.4,0.0,0.0,0.0,0.0,0.0,2.3,4.0,0.0,5.2,4.0,30.4,9.8,7.0,2.5,17.0,5.2,180.0,3.5,0.0,0.0,0.0,110.0,180.0,240.0,2.4,0.0,0.0,0.0,0.0,0.0,803.3,513,13
18,,Kalwan,Kalwan,156.6,0.0,0.0,0.0,0.0,0.0,3.2,0.6,0.0,8.4,15.8,39.6,5.4,0.6,0.0,5.2,5.4,15.8,0.0,0.0,0.0,0.0,0.0,15.0,38.0,9.0,0.2,0.0,0.0,0.0,0.0,162.2,103.6,11
19,,,Navibej,156.6,0.0,0.0,0.0,0.0,0.0,0.1,1.2,0.0,0.0,17.0,19.6,3.4,0.7,0.5,0.3,9.6,11.8,0.0,0.2,0.4,0.0,0.1,7.0,25.2,3.3,0.0,0.0,1.2,0.0,0.0,101.6,64.9,8
20,,,Mokbhangi,156.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,3.0,17.0,4.0,0.0,13.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,17.0,37.0,5.0,0.0,0.0,0.0,0.0,0.0,110,70.2,9
21,,,Kanashi,156.6,0.0,0.0,0.0,0.0,0.0,1.4,13.5,0.0,4.2,46.0,17.6,37.4,6.6,0.0,0.0,1.4,9.4,1.8,0.0,0.0,0.0,0.0,14.8,55.6,12.4,0.0,0.0,0.0,0.0,0.0,222.1,141.8,10
22,,,Dalwat,156.6,0.0,0.0,0.0,4.0,3.0,4.0,12.2,0.0,0.2,73.2,12.0,17.2,14.0,0.2,20.4,1.4,7.6,2.4,0.0,1.6,0.0,2.4,18.6,61.4,19.6,0.4,0.0,0.0,0.8,0.0,276.6,176.6,13
23,,,Abhona,156.6,0.0,0.0,0.0,6.0,0.0,1.0,2.0,1.0,1.0,24.6,21.6,3.6,1.0,2.0,0.0,4.0,15.2,0.0,0.0,0.0,0.0,5.6,8.0,29.8,8.4,0.0,0.0,0.0,0.0,0.0,134.8,95.6,10
24,,Nandgaon,Nandgaon,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,10.0,12.8,0.0,0.0,19.8,13.2,3.2,27.6,11.0,0.0,0.0,5.6,2.2,0.0,0.0,0.0,0.0,0.0,0.0,120,85.1,9
25,,,Manmad,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,3.2,3.0,0.0,0.0,4.3,6.8,0.0,20.2,17.4,0.0,1.3,5.6,3.6,1.0,0.0,0.0,0.0,0.0,0.0,70.7,50.1,9
26,,,Wehelgaon,141.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,35.0,12.0,13.0,0.0,0.0,25.0,17.0,2.0,5.0,6.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134,95,10
27,,,Jategaon,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,3.0,0.0,49.5,3.0,10.4,27.0,6.0,0.0,0.0,0.0,6.4,0.0,0.0,1.0,0.0,0.0,0.0,116.3,82.5,9
28,,,Hisawal,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,4.0,0.0,0.0,25.0,7.0,1.0,8.0,7.0,0.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,70,21.6,8
29,,Surgana,Umberthana,323.6,0.0,2.0,2.6,6.8,6.4,7.0,4.0,0.0,0.0,23.0,3.4,3.4,1.8,21.2,13.6,2.0,16.0,4.0,0.0,0.0,0.0,0.0,89.6,43.0,61.0,3.0,1.4,0.0,3.6,0.0,318.8,98.5,17
30,,,Barhe,323.6,4.4,0.0,0.0,4.0,1.0,10.0,8.4,2.0,0.0,20.2,2.2,2.2,10.0,9.3,7.2,0.0,19.4,1.2,0.0,0.0,0.0,4.1,36.0,47.5,50.7,0.0,0.0,0.0,6.8,0.0,246.6,76.2,14
31,,,Borgaon,323.6,2.4,0.4,0.3,5.0,4.0,5.8,5.4,0.0,0.0,47.6,10.8,10.8,1.2,0.0,28.0,0.0,4.4,0.0,0.6,22.4,0.0,8.0,42.0,81.8,31.6,0.0,0.0,1.4,1.5,0.0,315.4,97.5,14
32,,,Mankhed,323.6,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,5.0,26.6,4.4,4.4,7.6,7.2,0.0,0.0,7.8,0.0,0.0,0.0,0.0,3.8,16.5,69.7,52.0,0.0,0.0,0.0,0.0,0.0,214,66.1,12
33,,,Surgana,323.6,0.4,0.0,0.0,2.4,2.4,13.6,17.0,0.0,0.0,0.0,1.6,44.8,1.8,17.2,11.0,2.0,38.0,0.0,0.0,0.0,0.0,7.0,67.4,115.4,50.8,0.0,0.0,0.0,1.0, - ,393.8,242.6,10
34,,Nasik,Nasik,162.3,6.5,0.0,0.0,0.0,2.2,6.0,0.0,0.0,0.0,13.2,30.0,10.4,1.2,20.4,0.6,0.6,0.8,0.0,0.0,15.6,0.0,0.0,16.5,39.6,11.2,0.0,1.8,2.6,0.0,0.0,179.2,110.4,11
35,,,Deolali,162.3,3.6,0.0,0.0,0.0,1.2,0.8,0.0,0.0,0.0,1.4,40.8,10.0,10.4,30.6,0.0,24.6,1.2,0.0,0.0,56.8,0.0,0.0,12.0,19.2,2.4,0.2,0.0,0.6,0.0,0.6,216.4,133.3,9
36,,,Satpur,162.3,6.0,0.2,0.0,0.0,4.2,7.6,0.2,0.0,0.0,12.2,14.0,4.0,0.2,23.0,0.4,16.0,1.8,0.0,0.0,13.2,0.0,0.0,18.3,32.0,0.2,0.2,0.2,0.2,0.2,0.0,154.3,95.1,11
37,,,Girnare,162.3,1.4,0.5,0.0,0.0,6.8,2.0,4.0,0.0,0.0,6.0,11.2,15.3,1.4,2.8,1.2,0.8,7.6,0.0,0.0,4.0,0.2,0.0,27.4,35.4,15.8,0.6,3.0,0.2,0.0,0.0,147.6,90.9,12
38,,,Shinde,162.3,6.5,0.0,0.0,0.0,2.2,6.0,0.0,0.0,0.0,6.0,26.8,1.4,0.0,25.8,7.8,43.8,0.2,0.0,0.0,41.8,0.0,0.0,4.2,13.4,2.6,1.2,1.8,0.0,0.0,0.0,191.5,118,11
