Sr,District,Taluka,Circle,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total RainFall,%RainFall,Rainy Days
1,Nasik,Malegaon,Malegaon,112.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.5,5.0,0.0,0.0,0.0,6.0,0.0,19.4,0.0,0.0,0.0,0.0,11.0,46.3,47.4,4
2,,Baglan,Satana,97.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.6,3.8,0.0,0.0,1.0,0.0,0.0,0.0,55.0,0.0,0.1,0.0,5.0,23.0,105.5,47.1,8
3,,Kalwan,Kalwan,223.9,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,6.0,0.0,0.0,2.0,3.0,10.0,2.0,89.0,0.0,1.0,1.0,22.0,2.0,220,197.3,9
4,,Nandgaon,Nandgaon,111.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,2.0,40.0,70,9.8,3
5,,Surgana,Surgana,711.8,56.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,25.0,0.0,93.0,15.0,11.0,9.0,13.0,2.0,8.0,0.0,154.0,0.0,0.0,0.0,56.0,31.0,481,215.2,11
6,,Nasik,Nasik,223.5,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,1.0,10.0,1.0,1.0,3.0,0.0,5.0,7.0,67.0,13.0,0.0,1.0,39.0,2.0,239,93.2,10
7,,Dindori,Dindori,256.5,42.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,9.0,1.0,2.0,17.0,40.0,3.0,0.0,2.0,0.0,2.0,0.0,61.0,2.7,0.0,0.0,42.0,0.0,240.7,18,10
8,,Egatpuri,Igatpuri,1339.8,83.0,7.0,1.0,8.2,3.2,3.2,0.0,0.0,0.0,37.0,8.0,4.2,4.2,1.0,10.0,36.0,14.0,27.1,10.0,20.0,27.0,14.0,18.0,16.8,17.0,237.0,3.0,0.0,1.0,83.0,23.0,716.9,76.6,24
9,,Peth,Peth,936.4,89.0,2.0,0.9,1.2,0.5,0.5,0.0,4.0,0.0,0.0,0.0,7.0,7.0,29.0,0.0,10.0,23.0,27.0,10.0,19.0,3.3,19.0,11.0,8.0,7.0,145.0,39.0,5.0,0.0,89.0,0.0,556.4,471.1,19
10,,Niphad,Niphad,118.1,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.6,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,5.4,0.0,0.0,1.0,0.0,1.0,0.0,38.0,20.4,0.0,1.2,17.4,0.0,114,74.7,8
11,,Sinnar,Sinnar,152.6,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,2.0,0.0,2.0,0.0,20.4,6.0,0.0,0.0,1.0,0.0,56.7,52.8,5
12,,Yevla,Yeola,107.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,22.0,0.0,34.0,4.0,0.0,0.0,1.0,0.0,66,45.5,4
13,,Chandwad,Chandwad,145.1,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,3.7,0.0,24.0,0.0,99.7,10.6,4
14,,Trimbakeshwar,Tryambakeshwar,936.4,115.0,3.0,2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,6.0,4.0,4.0,22.0,35.0,38.0,73.0,9.0,11.0,18.0,17.0,21.0,4.0,22.0,9.0,113.0,0.0,36.0,0.0,115.0,19.0,704,355.4,23
15,,Devali,Devala,198.1,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,17.0,3.0,65,32.8,4
