Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total RainFall,%RainFall,Rainy Days
1,Thane,Thane,101.1,8.1,0.1,23.4,22.3,7.0,2.0,1.1,9.0,0.0,19.7,8.0,41.4,20.6,0.0,7.0,27.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.1,226.4,12
2,,Kalyan,90.6,15.0,1.0,20.0,12.0,19.0,1.0,0.0,12.0,22.0,17.0,4.0,48.0,8.0,0.0,1.0,2.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201,194.8,12
3,,Murbad,103.2,8.0,11.0,8.0,11.0,30.0,8.0,0.0,10.0,4.0,8.0,33.0,15.0,2.0,13.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173,182.5,14
4,,Bhivandi,94.8,5.0,10.0,55.0,10.0,5.0,0.0,0.0,31.0,9.0,48.0,3.0,53.0,46.0,0.0,2.0,8.0,30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317,333,13
5,,Shahapur,95.2,70.0,10.0,21.0,12.0,12.0,0.0,0.0,5.0,1.0,14.0,15.0,5.0,1.0,0.0,0.0,1.0,28.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,220.8,11
6,,Ulhasnagar,90.6,12.4,0.0,21.4,11.2,13.4,10.2,0.0,10.2,0.0,11.2,10.4,27.6,9.4,0.0,4.4,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,162.3,12
7,,Ambarnath,90.6,12.4,0.0,21.4,11.2,13.4,10.2,0.0,10.2,0.0,11.2,10.4,27.6,9.4,0.0,4.4,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147,196.5,12
8,Raigadh,Alibag,74.8,0.0,0.0,26.2,22.6,0.0,11.2,36.8,9.4,0.0,6.5,0.0,33.0,2.2,0.7,9.4,13.1,32.3,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.1,216,10
9,,Panwel,94.5,0.0,0.6,116.0,46.0,52.4,2.4,0.0,17.2,0.0,2.8,28.8,44.6,11.0,0.0,0.0,0.4,10.8,1.6,0.0,0.0,0.0,0.0,21.8,21.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,378.2,287.8,11
10,,Karjat,131.4,0.0,11.0,3.0,3.0,2.0,10.3,21.4,46.8,7.2,11.3,20.2,17.0,2.2,6.6,2.0,6.6,16.2,1.0,0.0,5.2,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206,145.1,15
11,,Khalapur,142.0,0.0,27.0,48.0,9.0,6.0,8.4,0.0,73.0,13.0,15.0,4.0,16.0,9.0,0.0,5.0,11.0,16.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.4,367.4,14
12,,Uran,71.7,0.0,0.0,95.0,37.0,5.0,7.0,0.0,23.0,0.0,24.0,15.0,3.6,9.0,0.0,1.0,1.0,1.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.6,217.6,10
