Sr,District,Taluka,Circle,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total RainFall,%RainFall,Rainy Days
1,Nasik,Malegaon,Malegaon,121.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2.0,0.0,0.0,15.0,0.0,0.0,0.0,1.0,93.0,22.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,170,139.6,5
2,,,Dabhadi,121.8,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,31.0,12.0,0.0,1.5,1.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,73.9,60.7,4
3,,,Wadner,121.8,0.0,0.0,0.0,0.0,11.2,0.0,0.0,0.0,0.0,3.2,2.5,0.0,6.2,0.0,0.0,0.0,5.1,74.3,21.2,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.9,104.2,7
4,,,Karanjgavhan,121.8,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,2.0,48.0,23.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104,85.4,5
5,,,Zodga,121.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,38.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.6,79.3,3
6,,,Kalwadi,121.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,15.6,3
7,,,Kaulane,121.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63,51.7,3
8,,,Saudane,121.8,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,36.1,3
9,,,Sayane,121.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,15.2,0.0,0.0,0.0,3.2,50.2,16.1,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,92.9,76.3,5
10,,,Nimgaon,121.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,31.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.4,42.5,4
11,,Baglan,Satana,123.4,0.0,0.0,0.0,0.0,6.0,14.0,0.0,0.0,44.0,5.0,10.0,0.0,8.0,0.0,5.0,0.0,2.0,20.0,78.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197,159.6,10
12,,,Brahmangaon,123.4,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,7.0,4.0,0.0,13.0,0.0,5.0,0.0,9.0,46.0,33.0,5.6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.6,113.1,11
13,,,Nampur,123.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.4,0.0,0.0,0.0,0.0,0.0,10.4,0.0,12.2,41.6,29.0,1.8,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.8,102.8,6
14,,,Jaikheda,123.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.3,0.0,0.0,0.0,0.0,28.0,0.0,16.0,40.2,43.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.5,126,7
15,,,Virgaon,123.4,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,31.0,3.0,0.0,0.0,0.0,0.0,10.4,0.0,9.5,32.4,72.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175,141.8,7
16,,,Dangsaudane,123.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,4.3,0.0,1.4,0.0,3.8,0.0,11.6,44.7,54.3,3.7,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.7,123.7,8
17,,,Mulher,123.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,14.0,0.0,0.0,45.0,57.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149,120.7,4
18,,,Taharabad,123.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,2.0,0.0,0.0,11.6,0.0,18.9,37.8,58.7,6.9,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.2,98.5,7
19,,Kalwan,Kalwan,156.6,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,3.4,0.5,0.0,0.0,3.4,0.0,17.4,0.0,7.2,77.7,148.1,2.2,13.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.3,174.5,7
20,,,Navibej,156.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,11.0,0.0,20.0,0.0,2.0,52.0,75.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187,119.4,6
21,,,Mokbhangi,156.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.8,0.0,8.0,0.0,1.5,65.0,110.0,0.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.8,126.9,6
22,,,Kanashi,156.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.1,0.0,0.0,0.0,1.0,0.0,0.0,61.0,144.2,14.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.3,158.6,4
23,,,Dalwat,156.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,4.0,0.0,0.0,63.0,145.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.5,149.7,4
24,,,Abhona,156.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,57.0,143.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215,152.5,4
25,,Nandgaon,Nandgaon,141.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,23.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,108.5,77,5
26,,,Manmad,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,56.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108,76.6,3
27,,,Wehelgaon,141.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,50.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119,84.4,4
28,,,Jategaon,141.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,14.0,11.0,0.0,80.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145,102.8,6
29,,,Hisawal,141.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,26.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70,21.6,5
30,,Surgana,Umberthana,323.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,1.3,0.9,0.3,0.0,0.0,11.7,48.0,3.4,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.3,21.4,3
31,,,Barhe,323.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.2,0.0,1.3,1.0,0.0,0.0,2.0,47.0,2.5,1.5,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.7,17.8,1
32,,,Borgaon,323.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,63.0,6.9,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.3,25.7,5
33,,,Mankhed,323.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.1,0.0,0.7,0.9,0.0,0.2,2.2,45.7,2.9,0.7,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.2,17.4,2
