Sr,District,Taluka,Circle,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total RainFall,%RainFall,Rainy Days
1,Nasik,Malegaon,Malegaon,39.0,0.0,100.0,31.0,1.0,1.0,1.0,0.0,14.0,23.9,60.0,34.8,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,276.7,683.2,7
2,,Baglan,Satana,40.5,5.0,131.0,0.0,0.0,83.0,14.0,0.0,45.0,24.0,16.0,36.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361,660,9
3,,Kalwan,Kalwan,54.7,27.0,42.0,8.0,0.0,0.0,5.0,0.0,20.0,23.0,15.0,35.0,0.0,7.0,8.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232,430.4,11
4,,Nandgaon,Nandgaon,53.9,2.0,96.0,5.0,0.0,0.0,0.0,0.0,20.0,0.0,41.0,26.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193,304.9,5
5,,Surgana,Surgana,63.3,7.0,64.0,0.0,3.0,43.0,8.0,0.0,23.0,6.0,4.0,11.0,2.0,12.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195,316,11
6,,Nasik,Nasik,61.7,4.0,67.0,0.0,0.0,19.1,3.7,5.1,15.2,34.3,13.2,43.0,1.2,2.2,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222,395,10
7,,Dindori,Dindori,56.2,3.0,89.0,0.0,0.0,0.0,11.0,0.0,51.0,22.0,17.0,6.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208,178.5,8
8,,Egatpuri,Igatpuri,116.5,30.0,9.0,0.0,2.0,10.0,10.0,1.0,30.0,8.2,70.0,2.0,2.0,3.2,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,193.4,228.6,9
9,,Peth,Peth,84.6,10.0,53.0,1.0,1.0,0.0,3.0,0.0,39.0,16.0,11.0,22.0,0.0,4.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171,314.3,9
10,,Niphad,Niphad,54.4,0.0,10.0,18.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,8.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159,254,6
11,,Sinnar,Sinnar,62.6,1.2,63.4,0.0,47.2,0.0,0.0,0.0,17.4,35.6,80.4,0.0,0.0,1.1,15.8,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,317.1,572.4,7
12,,Yevla,Yeola,55.4,1.0,78.0,7.0,1.0,0.0,2.0,0.0,7.0,0.0,89.0,54.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254,463.5,6
13,,Chandwad,Chandwad,54.8,42.0,67.0,3.0,0.0,4.0,0.0,11.0,32.0,35.0,24.0,31.0,0.0,24.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286,463.5,11
14,,Trimbakeshwar,Tryambakeshwar,61.7,8.0,32.0,2.0,0.0,0.0,40.0,8.0,26.0,27.0,17.0,23.0,0.0,8.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,365.6,10
15,,Devali,Devala,54.7,51.0,71.0,9.0,0.0,2.0,0.0,11.0,18.0,36.0,12.0,41.0,2.0,13.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273,499.1,11
