Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total RainFall,%RainFall,Rainy Days
21,,Mahasala,1277.4,10.0,12.8,28.0,8.8,1.4,7.4,17.8,35.2,72.6,58.6,52.0,35.2,151.0,97.6,107.0,78.0,184.0,127.0,67.7,20.0,7.0,10.0,14.0,9.0,20.0,93.0,36.0,37.0,148.0,186.0,185.0,1917.1,153.6,30
22,,Tala,1248.4,21.0,5.0,17.0,18.0,9.0,0.0,35.0,52.0,73.0,70.0,75.0,11.0,59.0,76.0,57.0,21.0,189.0,158.0,103.0,25.0,20.0,13.0,18.0,20.0,17.0,73.0,34.0,32.0,104.0,154.0,94.0,1653,120,30
23,Ratnagiri,Chiplun,1377.8,4.0,19.0,17.0,8.0,8.0,31.0,52.0,27.0,58.0,21.0,71.0,43.0,79.0,48.0,43.0,37.0,206.0,229.0,86.0,47.0,36.0,16.0,63.0,61.0,11.0,22.0,26.0,19.0,123.0,82.0,142.0,1735,133.6,31
24,,Dapoli,1298.3,2.3,14.8,54.4,14.2,2.6,10.0,41.4,26.4,85.6,26.4,42.0,15.6,62.0,85.0,199.0,36.4,178.8,180.0,101.2,26.2,35.0,34.4,50.6,10.0,13.2,73.2,50.6,60.0,155.3,219.0,128.2,2033.8,147.4,30
25,,Khed,1379.9,6.0,18.0,9.0,5.0,25.0,5.0,2.0,20.0,80.0,20.0,38.0,42.0,37.0,62.0,74.0,38.0,110.0,113.0,98.0,30.0,46.0,12.0,33.0,68.0,4.0,44.0,39.0,23.0,88.0,65.0,86.0,1340,150,30
26,,Guhagar,893.3,10.0,7.0,25.0,14.0,6.0,2.0,30.0,42.0,35.0,34.0,21.0,7.0,69.0,102.0,68.0,86.0,166.0,157.0,64.0,14.0,17.0,10.0,20.0,38.0,4.0,36.0,5.0,16.0,73.0,202.0,134.0,1514,95.4,30
27,,Mandangad,1587.1,16.0,13.0,18.0,9.0,5.0,3.0,5.0,58.0,75.0,30.8,37.6,17.4,76.0,71.0,80.0,31.0,180.0,136.0,52.9,45.0,24.0,19.0,28.0,20.0,15.0,33.0,19.0,27.0,65.0,142.0,89.0,1440.7,152.5,31
28,,Ratnagiri,944.5,4.8,9.4,33.6,1.2,3.6,31.7,63.4,87.8,27.4,27.0,21.2,1.9,141.8,100.6,20.6,105.9,127.8,112.8,88.5,20.1,34.2,16.2,37.0,36.6,8.8,47.5,20.6,21.4,149.0,201.2,128.2,1731.8,119.6,29
29,,Sangameshwar,1447.8,12.6,65.0,102.0,13.0,103.0,16.0,28.0,106.0,54.2,68.0,57.0,37.0,88.0,63.0,118.0,81.0,224.0,285.0,173.0,76.0,80.9,49.7,37.0,80.0,65.0,21.8,17.0,29.0,59.2,136.2,242.0,2587.6,208.7,31
30,,Rajapur,1239.8,2.0,20.0,136.0,36.0,11.0,23.0,58.0,95.0,27.0,19.0,62.0,13.0,42.0,128.0,46.0,104.0,99.0,135.0,59.0,24.0,49.0,16.0,41.0,79.0,20.0,24.0,23.0,25.0,78.0,132.0,123.0,1749,124.1,30
31,,Lanja,1409.1,3.0,40.0,95.0,12.0,18.0,26.0,26.0,55.0,52.0,35.0,39.0,10.0,81.0,87.0,33.0,84.0,170.0,92.0,71.0,23.0,70.0,7.0,71.0,105.0,30.0,10.0,42.0,16.0,75.0,80.0,70.0,1628,212.7,31
32,Sindhudurg,Devgad,765.3,3.0,0.0,33.0,17.0,4.0,20.0,77.0,16.0,60.0,0.0,14.0,10.0,123.0,112.0,52.0,91.0,113.0,94.0,26.0,18.0,11.0,10.0,42.0,57.0,6.0,75.0,54.0,31.0,96.0,72.0,75.0,1412,185.5,29
33,,Malwan,761.3,2.0,12.0,20.0,75.0,6.0,4.0,60.0,69.0,26.0,1.0,24.0,2.0,143.0,96.0,39.0,115.0,100.0,54.0,62.0,29.0,13.0,12.0,24.0,8.0,20.0,89.0,74.0,67.0,139.0,83.0,84.0,1552,108.5,28
34,,Sawantwadi,1430.8,40.0,6.0,79.0,68.0,12.0,7.0,57.0,38.0,6.0,6.0,29.0,25.0,57.0,74.0,28.0,112.0,101.0,43.0,40.0,28.0,60.0,47.0,17.0,107.0,11.0,32.0,56.0,41.0,39.0,108.0,26.0,1400,135.2,31
35,,Vengurla,1035.6,8.0,1.4,5.2,25.2,0.0,9.4,73.2,67.0,15.8,7.0,27.1,12.4,67.2,65.0,42.4,105.2,80.2,20.0,21.2,9.4,17.8,3.6,19.6,11.8,5.8,18.8,48.2,23.6,46.2,114.6,21.6,993.9,75.2,29
36,,Kankawali,1321.1,6.0,34.0,114.0,36.0,23.0,24.0,28.0,16.0,21.0,24.0,39.0,13.0,35.0,65.0,58.0,104.0,112.0,119.0,65.0,50.0,50.0,20.0,40.0,75.0,15.0,15.0,10.0,9.0,54.1,180.0,25.0,1479.1,130.9,31
37,,Kudal,1129.9,29.0,4.0,63.0,46.0,78.0,32.0,127.0,40.0,9.0,5.0,17.0,21.0,57.0,50.0,17.0,70.0,124.0,92.0,70.0,50.0,40.0,10.0,23.0,85.0,14.0,29.0,38.0,46.0,54.0,66.0,40.0,1446,66.9,31
38,,Vaibhavwadi,2160.8,7.0,11.0,99.0,55.0,22.0,40.0,41.0,45.0,33.0,7.0,25.0,18.0,28.0,105.0,30.0,104.0,111.0,182.0,43.0,62.0,30.0,15.0,2.0,107.0,11.0,35.0,7.0,23.0,77.0,124.0,53.0,1552,108.5,30
39,,Dodamarg,1430.8,20.0,42.0,51.0,37.0,0.0,10.0,76.0,22.0,10.0,7.0,42.0,10.0,104.0,47.0,38.0,131.6,87.0,60.0,68.0,26.0,34.0,25.0,6.0,58.0,13.0,18.0,82.0,16.0,28.0,69.0,22.0,1259.6,171,30
40,Palghar,Vasai,736.4,0.0,1.0,18.0,10.0,7.0,1.0,67.0,106.0,78.0,30.0,28.0,24.0,16.0,104.0,101.0,5.0,57.6,61.0,10.0,21.0,0.0,0.0,7.0,2.0,1.0,6.0,16.0,50.0,69.0,97.0,170.0,1163.6,98.9,24
41,,Wada,1176.3,0.0,0.0,0.0,0.0,27.0,0.0,2.0,38.0,20.0,75.0,91.0,51.0,59.0,76.0,72.0,1.0,27.1,28.9,63.0,60.0,23.0,3.0,6.0,7.0,13.0,28.0,7.0,9.0,191.0,87.0,108.0,1173,159.8,24
42,,Dahanu,734.0,0.0,5.1,14.2,16.0,2.7,0.0,3.1,81.4,65.2,63.9,86.5,16.7,71.3,17.8,31.0,2.1,31.9,35.6,61.9,32.8,1.4,0.8,0.6,6.9,2.5,4.7,10.0,36.1,75.0,50.3,124.9,952.4,124.7,24
43,,Palghar,763.9,8.4,1.2,35.4,22.0,6.4,8.6,41.0,209.0,44.6,61.0,32.6,25.4,64.2,28.8,92.6,0.0,50.9,51.0,15.8,64.4,0.0,11.4,1.4,9.4,0.0,2.4,4.4,36.6,48.0,57.0,94.0,1127.9,70.4,25
44,,Javhar,1602.3,11.0,5.0,9.0,7.0,5.0,2.0,13.0,22.0,79.0,105.0,137.0,91.0,73.0,129.0,83.0,1.0,31.8,35.4,103.0,79.0,26.0,19.0,15.0,97.0,63.0,1.0,1.0,39.0,43.0,71.0,117.0,1513.2,152.1,27
45,,Mokhada,994.6,3.2,3.8,24.0,6.0,3.0,0.0,12.2,37.4,29.2,64.0,69.0,53.2,40.0,51.6,32.2,0.4,13.4,34.9,104.0,43.6,13.0,4.6,4.4,21.4,23.0,1.4,2.6,8.0,11.6,90.0,58.0,863.1,111.7,28
46,,Talasari,772.8,0.0,17.0,55.0,7.0,0.0,0.0,9.0,37.0,38.0,64.0,77.0,32.0,120.0,60.0,130.0,5.0,47.8,51.6,103.0,47.0,8.0,5.0,4.0,25.0,6.0,3.0,0.0,12.0,80.0,90.0,207.0,1340.4,83.7,27
47,,Vikramgad,1602.3,3.6,1.2,8.2,9.8,9.6,12.2,3.5,42.0,39.4,102.8,86.6,49.4,75.0,156.0,78.0,1.2,27.4,29.6,61.6,51.2,13.4,3.4,2.0,18.2,10.6,23.0,0.0,11.0,188.0,80.0,161.0,1358.9,1210.1,27
48,Nasik,Malegaon,112.3,0.0,0.0,0.0,0.0,5.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,11.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,9.0,0.0,2.0,1.0,71,72.7,8
49,,Baglan,97.6,0.0,0.0,0.0,0.0,0.0,7.0,8.0,6.0,0.0,2.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,58.0,18.0,1.0,0.0,0.0,0.0,7.0,6.0,11.0,4.0,0.0,0.0,0.0,161,71.9,10
50,,Kalwan,223.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,5.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,69.0,3.0,0.0,0.0,0.0,3.0,4.0,27.0,6.0,3.0,1.0,2.0,184,165,12
51,,Nandgaon,111.5,0.0,0.0,0.0,0.0,0.0,13.0,186.0,42.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,14.0,8.0,0.0,0.0,0.0,277,38.9,7
52,,Surgana,711.8,18.0,3.0,3.0,0.0,6.0,0.0,5.0,3.0,20.0,27.0,65.0,84.0,21.0,73.0,14.0,4.0,2.0,1.0,96.0,101.0,22.0,5.0,3.0,5.0,28.0,62.0,58.0,4.0,52.0,49.0,18.0,852,381.2,27
53,,Nasik,223.5,0.0,0.0,0.0,0.0,0.0,0.0,20.0,13.0,9.0,13.0,14.0,12.0,1.0,1.0,4.0,0.0,0.0,0.0,45.0,13.0,0.0,1.0,0.0,3.0,0.0,1.0,3.0,0.0,3.0,1.0,3.0,160,62.4,13
54,,Dindori,256.5,0.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,2.0,14.0,16.0,36.0,2.0,0.0,1.0,0.0,0.0,3.0,8.0,44.0,3.0,1.0,1.0,0.0,6.0,3.0,13.0,1.0,0.0,1.0,3.0,168,12.5,12
55,,Egatpuri,1339.8,3.0,3.0,18.0,5.0,4.0,0.0,8.0,22.0,27.0,62.0,57.0,59.0,44.0,18.0,26.0,2.0,22.0,24.0,72.0,87.0,36.0,8.0,2.0,34.0,27.0,7.0,2.0,44.0,19.0,31.0,19.0,792,84.6,27
