Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total RainFall,%RainFall,Rainy Days
19,,Murud,700.2,8.0,16.0,7.0,0.0,9.2,98.8,107.0,28.0,20.0,8.0,18.2,2.2,17.3,31.6,6.0,16.8,8.0,16.2,4.0,2.6,2.6,11.0,0.0,11.3,7.0,3.0,4.4,0.0,19.4,13.0,0.0,496.6,66.6,26
20,,Shriwardhan,745.4,39.4,0.0,6.2,2.2,4.2,95.2,47.4,50.2,33.2,3.0,16.1,38.2,24.0,10.2,5.2,17.2,13.2,22.0,4.0,5.6,5.2,1.0,6.8,19.2,11.0,3.0,5.1,0.0,5.8,6.2,4.0,504,53.9,27
21,,Mahasala,935.6,59.0,34.4,23.0,1.4,23.0,121.0,70.0,80.6,55.2,14.4,27.6,20.0,21.0,27.4,19.4,27.0,40.6,7.6,9.4,10.9,16.8,7.0,3.2,40.0,11.0,1.2,6.3,7.0,18.0,9.0,14.4,826.8,106.5,29
22,,Tala,776.4,18.0,66.0,16.0,2.0,12.0,113.0,160.0,117.0,47.0,24.0,50.0,13.0,49.0,50.0,38.0,42.0,33.0,17.0,15.0,9.0,6.0,14.0,7.0,16.0,6.0,3.0,10.0,11.0,45.0,18.0,4.0,1031,107.8,30
23,Ratnagiri,Chiplun,956.2,28.0,33.0,61.0,9.0,6.0,68.0, - ,241.0,55.0,31.0,44.0,27.0,32.0,24.0,38.0,54.0,90.0,19.0,15.0,13.0,7.0, - ,6.0,14.0,4.0,7.0,3.0,6.0,7.0,12.0,5.0,959,100,29
24,,Dapoli,958.7,37.2,28.2,35.4,1.0,3.8,25.2,29.5,111.0,52.0,44.2,10.4,48.4,33.0,74.5,26.1,35.0,28.7,37.2,11.2,5.8,22.6,5.6,17.6,27.0,46.8,6.0,1.0,4.0,28.6,4.8,3.4,845.2,94.5,29
25,,Khed,894.2,65.0,31.0,38.0,2.0,15.0,123.0,44.0,92.0,74.0,42.0,26.0,28.0,23.0,46.0,24.0,51.0,29.0,22.0,17.0,12.0,9.0,3.0,8.0,31.0,7.0,12.0,2.0,8.0,18.0,9.0,9.0,920,272.1,29
26,,Guhagar,338.1,4.0,11.0,24.0,0.0,3.0,38.0,21.0,110.0,22.0,7.0,11.0,0.0,5.0,11.0,13.0,21.0,30.0,11.0,15.0,6.0,0.0,0.0,0.0,4.0,16.0,6.0,0.0,2.0,0.0,0.0,2.0,393,38.8,21
27,,Mandangad,1012.1,65.0,74.8,54.0,9.2,3.6,124.8,96.0,74.0,70.0,21.0,49.2,50.6,62.8,43.0,57.6,24.0,46.0,17.2,5.0,4.0,9.0,10.8,9.0,47.8,3.0,2.2,2.0,12.6,19.0,31.2,12.6,1111,175.3,29
28,,Ratnagiri,633.8,91.9,32.3,19.8,4.0,28.4,89.1,70.2,71.0,34.7,8.8,123.0,24.3,24.6,7.8,21.7,19.9,44.8,29.4,9.1,5.0,4.8,3.6,1.6,11.4,1.6,9.2,4.6,9.6, - ,0.5,2.1,808.8,91.1,26
29,,Sangameshwar,888.1,141.0,38.0,42.0,12.0,63.0,139.0,121.0,199.0,112.0,44.0,161.0,34.0,28.8,48.0,75.0,48.0,123.0,35.0,8.0,5.0,14.0,7.0,2.0,17.0,25.0,8.0,8.0,29.0,5.0,10.0,8.0,1609.8,186.3,30
30,,Rajapur,863.9,30.0,22.0,78.0,28.0,36.0,139.5,117.0,98.0,136.0,38.0,52.0,22.0,58.0,24.0,77.0,42.0,58.0,26.0,20.0,31.0,5.0,1.0,9.0,3.0,6.0,16.0,5.0,35.0,13.0,2.0,4.0,1231.5,134.5,29
31,,Lanja,915.8,58.0,14.0,29.0,11.0,30.0,82.0,49.0,46.0,59.0,20.0,52.0,14.0,23.0,28.0,33.0,39.0,27.0,37.0,7.0,8.0,9.0,5.0,4.0,7.0,2.0,15.0,0.0,12.0,3.0,2.0,5.0,730,143.6,28
32,Sindhudurg,Devgad,508.2,0.0,14.0,23.0,2.0,31.0,44.0,136.0,102.0,7.0,3.0,26.0,26.0,17.0,23.0,28.0,8.0,27.0,14.0,8.0,2.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,8.0,14.0,0.0,11.0,581,120.4,21
33,,Malwan,482.4,12.0,3.0,9.0,0.0,10.0,16.0,3.0,70.0,12.0,6.0,9.0,11.0,12.0,16.0,7.0,20.0,4.0,8.0,9.0,9.0,5.0,0.0,0.0,3.0,0.0,0.0,8.0,8.0,7.0,0.0,2.0,279,33.6,24
34,,Sawantwadi,830.6,62.0,25.0,70.0,14.0,37.0,75.0,6.0,88.0,54.0,48.0,36.0,54.0,11.0,38.0,47.0,88.0,47.0,31.0,32.0,15.0,10.0,2.0,2.0,9.0,2.0,0.0,12.0,35.0,72.0,17.0,14.0,1053,176.6,27
35,,Vengurla,596.4,26.0,1.0,41.4,10.0,11.4,13.4,0.0,57.2,18.4,20.0,15.4,7.6,8.8,28.0,18.8,41.6,11.2,14.0,7.2,9.4,10.0,0.8,4.0,0.0,0.4,0.0,1.2,14.0,12.2,1.2,2.0,406.6,45.2,22
36,,Kankawali,898.6,33.0,20.0,23.0,14.0,27.0,68.0,54.0,58.0,44.0,30.0,49.0,32.0,22.0,25.0,43.0,33.0,28.0,23.0,15.0,9.0,7.0,9.0,7.0,6.0,4.0,2.0,3.0,8.0,20.0,4.0,11.0,731,119.5,30
37,,Kudal,611.9,20.0,12.0,17.0,12.0,16.0,10.0,8.0,55.0,15.0,10.0,12.0,9.0,13.0,11.0,10.0,35.0,10.0,11.0,12.0,5.0,7.0,2.0,8.0,5.0,3.0,0.0,10.0,6.0,24.0,3.0,9.0,380,23.8,29
38,,Vaibhavwadi,1595.6,31.0,27.0,42.0,24.0,33.0,131.0,105.0,108.0,94.0,32.0,56.0,24.0,17.0,34.0,45.0,50.0,44.0,22.0,45.0,13.0,8.0,5.0,5.0,13.0,10.0,9.0,1.0,43.0,17.0,2.0,9.0,1099,132.3,29
39,,Dodamarg,830.6,44.0,14.0,51.0,10.0,16.0,18.0,15.0,82.0,65.0,27.0,45.0,76.0,7.0,31.0,34.0,47.0,42.0,25.0,22.0,18.0,21.0,3.0,0.0,1.0,2.0,2.0, - ,34.0,43.0,2.0,2.0,799,188.4,24
40,Palghar,Vasai,424.1,35.0,14.0,40.0,0.0,6.0,162.0,219.0,139.0,107.0,6.0,20.0,20.0,35.0,1.0,13.0,40.0,167.0,12.0,0.0,6.0,11.0,0.0,13.0,2.0,15.0,0.0,18.0,15.0,5.0,4.0,1.0,1126,148.3,24
41,,Wada,759.1,27.0,33.0,21.0,9.0,8.0,99.0,184.0,205.0,65.0,82.5,34.1,32.0,38.0,17.2,47.0,77.0,35.0,15.0,0.0,4.0,7.0,0.0,11.8,19.0,2.6,4.0,22.0,19.0,3.0,2.0,0.0,1123.2,231.6,27
42,,Dahanu,484.9,2.9,11.4,15.4,1.8,4.3,47.0,143.8,144.5,107.7,50.6,4.2,8.5,75.4,7.1,35.6,33.7,6.1,15.6,0.0,12.8,20.0,3.3,6.5,0.6,0.3,3.6,11.5,6.2,4.9,3.2,0.0,788.5,187.5,26
43,,Palghar,420.5,2.2,11.0,19.0,1.4,0.0,50.4,160.0,157.8,24.3,56.1,8.4,8.6,20.0,9.0,30.0,92.2,20.0,19.0,0.0,0.0,22.4,4.0,3.0,3.2,3.2,0.0,3.0,6.0,0.2,0.0,1.0,735.4,75.7,22
44,,Javhar,972.1,23.4,38.4,32.2,10.4,14.0,85.0,252.2,229.0,148.4,118.6,26.0,48.2,68.4,34.2,54.4,104.4,43.0,44.6,1.0,16.4,37.0,20.2,44.0,6.0,0.3,15.4,17.2,15.0,32.6,2.2,0.0,1582.1,241.7,27
45,,Mokhada,654.5,14.5,32.7,39.2,6.5,8.6,82.0,224.8,156.9,109.8,91.5,24.4,41.0,39.6,23.8,50.7,67.6,37.2,29.5,0.0,12.7,23.7,7.6,32.3,10.5,9.2,11.7,22.8,14.0,17.5,3.5,0.5,1246.3,314.2,29
46,,Talasari,396.6,17.0,32.0,17.0,2.0,17.0,51.0,123.0,176.2,168.0,47.0,15.0,40.0,97.0,25.0,37.0,41.0,14.0,16.0,0.0,4.0,20.4,2.0,12.7,4.0,3.0,11.0,8.0,7.0,10.0,0.0,0.0,1017.3,112.8,26
47,,Vikramgad,902.1,10.1,22.1,41.2,8.4,8.5,91.1,181.1,157.7,117.8,44.2,32.3,23.5,33.6,16.9,69.6,105.9,39.0,31.4,0.0,5.3,12.0,20.2,9.1,1.8,21.0,1.4,36.0,22.8,10.3,6.6,3.8,1184.7,1134.8,28
48,Nasik,Malegaon,104.4,0.0,0.0,3.0,6.0,4.0,5.0,86.0,38.0,12.0,10.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,179,181.9,11
