Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total RainFall,%RainFall,Rainy Days
1,Thane,Thane,637.2,5.2,9.4,6.1,11.5,11.5,5.9,4.1,4.4,7.8,13.8,12.8,18.2,15.6,11.2,5.0,13.1,16.7,10.9,22.4,13.7,17.7,30.6,20.5,11.2,9.7,8.8,6.9,13.7,7.3,2.9,6.3,354.9,54.4,31
2,,Kalyan,652.7,2.2,3.8,3.8,10.8,11.4,5.4,2.5,2.7,4.5,7.2,9.7,12.8,22.6,10.1,5.6,15.1,22.2,16.6,10.1,15.9,27.0,45.1,14.5,8.8,6.2,10.6,10.3,4.6,6.4,1.6,0.7,330.8,52.2,27
3,,Murbad,634.3,2.8,2.4,2.8,12.4,17.8,4.2,11.8,3.6,6.8,14.4,9.2,21.0,23.1,24.2,15.0,22.0,56.2,25.0,19.2,19.2,44.0,107.4,44.4,25.4,17.6,24.6,15.6,13.6,17.2,7.6,5.4,635.9,98.4,30
4,,Bhivandi,646.4,2.5,0.8,1.5,19.0,9.3,2.0,2.5,2.3,5.8,8.7,6.8,10.2,13.7,5.8,4.5,8.7,14.2,15.2,13.8,8.2,16.0,46.2,16.8,9.5,8.3,12.3,4.5,8.0,3.2,0.7,1.2,282.2,40.1,23
5,,Shahapur,703.2,5.0,4.8,3.0,16.8,12.8,2.8,3.6,5.8,11.6,13.4,9.0,26.4,19.6,14.8,7.6,16.6,32.6,22.8,17.2,11.4,48.8,56.0,20.8,14.4,7.6,25.4,12.8,10.0,1.6,1.2,3.2,459.4,76,29
6,,Ulhasnagar,604.3,0.0,17.0,4.0,20.0,9.0,2.0,3.0,0.0,6.0,13.0,13.0,22.0,15.0,8.0,1.0,13.0,20.0,5.0,22.0,15.0,5.0,76.0,34.0,22.0,17.0,22.0,11.0,10.0,7.0,5.0,8.0,425,70.3,27
7,,Ambarnath,604.3,8.4,9.3,4.5,15.8,18.9,3.9,2.1,5.4,10.0,8.6,15.1,17.5,24.4,19.3,6.5,11.8,21.6,9.8,22.7,13.6,42.4,60.7,27.2,22.4,27.1,22.7,22.9,10.1,8.8,0.0,2.8,496.3,103.5,29
8,Raigadh,Alibag,479.4,1.3,8.9,11.1,4.4,8.3,1.4,3.7,0.0,1.4,3.9,6.6,9.9,19.7,6.7,6.0,9.4,10.9,9.4,14.7,39.1,34.7,25.9,15.9,8.3,11.1,17.4,15.7,11.6,10.1,3.1,3.1,333.7,42.2,27
9,,Panwel,790.4,1.4,5.6,4.8,12.3,11.2,1.6,0.5,2.9,3.3,7.5,9.8,9.3,17.5,11.7,13.5,23.5,16.6,8.5,16.6,25.7,69.8,61.2,33.0,57.9,18.2,17.0,18.3,9.2,8.3,1.6,1.0,499.3,53.3,26
10,,Karjat,937.6,7.8,19.7,11.0,28.8,32.7,6.7,0.2,10.0,22.0,16.8,17.9,33.6,64.8,37.4,14.2,50.0,58.8,16.4,51.3,50.0,96.0,80.8,50.6,24.4,22.2,45.7,29.0,14.2,11.1,1.8,6.6,932.5,90.9,29
