Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total RainFall,%RainFall,Rainy Days
1,Thane,Thane,534.8,0.0,0.0,23.7,0.1,13.4,0.0,6.2,8.8,90.9,48.5,8.2,2.7,0.4,0.7,4.0,6.5,36.4,43.2,2.9,0.3,0.3,2.9,64.0, - ,172.8,107.1,9.7,10.7,57.2,31.1,752.7,157.9,21
2,,Kalyan,476.8,0.0,0.0,17.6,0.0,19.8,0.0,11.7,7.8,60.9,25.0,2.1,2.5,0.1,0.0,1.0,0.6,26.6,38.4,1.2,0.0,0.0,2.9,33.9,15.5,135.8,114.0,20.9,16.1,40.3,38.3,633,167.3,17
3,,Murbad,378.3,0.0,1.2,17.2,4.8,21.1,0.0,5.5,0.6,11.0,2.4,2.3,6.2,0.2,0.1,1.0,0.4,17.8,0.8,0.8,7.8,7.8,27.0,64.5,16.6,30.4,74.4,26.0,15.2,18.6,6.6,388.3,82.3,18
4,,Bhivandi,471.7,0.0,0.0,11.5,0.0,7.1,0.0,10.6,2.6,80.1,60.7,1.8,0.7,0.0,0.0,1.1,1.2,44.6,39.7,0.2,0.0,0.0,2.0,21.2,13.8,151.7,111.5,13.5,5.7,49.0,24.8,655.1,158.7,16
5,,Shahapur,412.7,0.0,0.0,24.5,0.0,16.5,0.0,9.1,13.0,53.1,17.4,2.0,2.3,0.5,0.0,2.3,0.5,18.0,25.0,0.0,11.8,2.9,25.2,25.7,13.2,77.5,118.1,28.4,15.0,38.6,15.6,556.2,121.7,19
6,,Ulhasnagar,457.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47.0,8.0,0.0,0.0,2.0,13.0,12.0,134.0,153.0,12.0,20.0,49.0,48.0,498,109,10
7,,Ambarnath,457.0,0.0,0.1,45.8,0.0,28.6,0.0,24.2,0.2,28.2,9.9,1.9,0.7,0.1,0.0,1.8,0.5,19.9,40.0,0.0,1.0,3.0,5.8,39.2, - ,94.1,135.3,15.8,13.2,42.2,14.9,566.4,104.7,16
8,Raigadh,Alibag,540.8,0.0,0.0,0.3,0.0,8.6,0.0,1.0,13.4,37.6,178.4,4.6,0.7,0.0,2.3,0.4,26.1,22.7,115.6,1.7,0.4,0.0,65.3,44.6,89.7,144.0,14.9,18.3,9.9,35.9,40.9,877.3,154.6,17
9,,Panwel,567.5,0.0,0.1,7.8,0.0,26.7,0.0,8.3,2.3,76.2,17.6,4.9,1.3,0.0,1.2,1.9,5.8,20.7,68.6,1.6,0.6,0.0,17.1,54.2,28.9,94.6,97.8,18.7,3.9,60.6,13.8,635.2,115.8,18
10,,Karjat,548.7,0.0,0.0,7.4,0.0,24.7,0.2,4.5,8.6,10.6,4.9,8.8,2.1,1.1,0.3,0.5,3.4,9.5,59.9,0.0,0.0,4.0,20.4,199.5,44.5,97.6,126.7,41.7,21.8,51.4,53.2,807.3,143.3,20
