Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total RainFall,%RainFall,Rainy Days
1,Thane,Thane,334.4,13.0,0.0,0.0,1.0,0.0,0.0,22.0,2.0,4.0,5.0,6.0,12.0,9.0,10.0,8.0,6.0,1.0,2.0,0.0,1.0, - ,0.0,0.0,0.0,1.0,23.0,0.0,5.0,2.0, - ,133,44.1,12
2,,Kalyan,301.7,3.0,2.0,1.0,0.0,11.0,0.0,28.0,2.0,6.0,10.0,6.0,2.0,0.0,7.0,0.0,5.0,0.0,0.0,1.0,0.0, - ,0.0,0.0,33.0,10.0,30.0,4.0,4.0,9.0, - ,174,50.1,14
3,,Murbad,347.1,13.2,47.3,0.0,0.0,0.0,0.0,52.3,15.3,56.3,28.2,67.6,36.2,12.2,0.0,5.2,4.3,7.2,0.0,0.0,3.1, - ,55.0,22.2,0.0,14.2,22.2,12.0,0.0,77.3, - ,551.3,163.3,19
4,,Bhivandi,337.6,0.0,0.0,9.0,0.0,0.0,0.0,37.0,0.0,7.0,10.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - ,0.0,0.0,3.0,4.0,21.0,2.0,0.0,14.0, - ,134,39.6,10
5,,Shahapur,338.1,1.0,23.0,0.0,0.0,0.0,0.0,58.0,1.0,0.0,12.0,11.0,7.0,28.0,0.0,22.0,0.0,1.0,0.0,0.0,0.0, - ,0.0,1.0,5.0,61.0,40.0,0.0,1.0,17.0, - ,289,95.7,11
6,,Ulhasnagar,301.9,2.4,8.4,0.0,0.0,0.0,0.0,25.6,1.2,2.2,14.6,11.2,2.4,0.0,0.0,0.0,2.2,0.0,0.0,0.0,2.2, - ,1.2,3.4,36.2,6.4,5.6,0.0,0.0,7.8, - ,133,44.1,9
7,,Ambarnath,301.9,5.0,17.2,0.0,0.0,0.0,0.0,46.0,0.0,2.0,15.2,0.0,14.0,0.0,0.0,10.0,2.2,0.0,0.0,0.0,8.0, - ,0.0,0.0,55.2,15.4,16.0,0.0,0.0,20.0, - ,226.2,72.2,11
8,Raigadh,Alibag,313.1,0.0,3.0,0.0,0.0,0.0,0.0, - ,3.0,11.1, - ,1.5,20.5,12.8,0.0,4.5,2.0,0.0, - , - , - , - ,45.9,39.9, - ,0.0,4.8,16.8,0.0,3.3,42.5,211.6,52.6,12
9,,Panwel,402.0,25.0,0.6,0.0,0.0,0.0,0.0, - ,0.0,5.2, - ,2.0,2.0,0.0,0.0,0.0,0.0,5.0, - , - , - , - ,15.2,6.2, - ,0.0,3.0,0.0,0.0,6.4,3.0,73.6,16.9,8
10,,Karjat,436.0,28.7,3.6,0.0,4.5,0.0,0.0, - ,3.4,1.0, - ,10.2,10.4,11.2,0.2,0.8,0.0,7.5, - , - , - , - ,25.0,10.7, - ,27.0,27.6,2.6,26.2,3.6,5.6,209.8,45.8,16
11,,Khalapur,458.5,37.1,0.3,0.2,0.0,0.0,0.0, - ,10.2,2.0, - ,13.2,14.3,10.4,0.0,11.2,0.0,13.0, - , - , - , - ,16.0,0.0, - ,38.0,24.1,0.0,11.0,7.2,6.0,214.2,69.9,13
12,,Uran,306.3,0.0,6.0,0.0,0.0,0.0,0.0, - ,1.6,43.0, - ,3.4,3.0,0.0,0.0,4.0,8.0,0.0, - , - , - , - ,4.0,0.0, - ,0.0,0.0,0.0,2.0,0.0,4.0,79,17.5,8
13,,Sudhagad,452.1,0.0,0.1,0.0,0.0,0.0,0.0, - ,20.0,1.0, - ,22.0,13.0,23.0,0.0,20.0,0.0,12.0, - , - , - , - ,55.0,1.0, - ,9.0,51.0,0.0,22.0,12.0,8.0,269.1,66.1,12
14,,Pen,407.3,1.2,18.0,0.0,0.0,0.0,0.0, - ,7.2,0.0, - ,3.2,19.4,4.2,2.2,2.2,9.4,0.0, - , - , - , - ,26.4,6.2, - ,3.2,11.4,2.2,13.6,14.2,9.6,153.8,37.1,13
15,,Mahad,414.1,12.6,0.0,0.0,0.0,0.0,0.0, - ,42.2,7.5, - ,11.2,20.0,14.5,0.0,1.0,0.0,50.7, - , - , - , - ,0.0,7.0, - ,2.1,56.0,5.5,6.1,33.0,7.2,276.6,71.5,13
16,,Mangaon,387.1,11.0,0.0,0.0,0.0,0.0,0.0, - ,113.0,8.0, - ,13.0,35.0,16.0,0.0,8.0,0.0,8.0, - , - , - , - ,42.0,2.0, - ,0.0,7.0,1.0,8.0,53.0,15.0,340,92.8,13
17,,Roha,366.3,27.0,0.0,0.0,0.0,0.0,0.0, - ,62.0,12.0, - ,6.0,44.0,0.0,0.0,2.0,6.0,0.0, - , - , - , - ,25.0,3.0, - ,6.0,8.0,0.0,0.0,2.0,27.0,230,55.8,11
18,,Poladpur,412.4,6.0,0.0,0.0,0.0,0.0,0.0, - ,5.0,32.0, - ,9.0,30.0,0.0,1.0,11.0,3.0,29.0, - , - , - , - ,14.0,2.2, - ,5.0,56.0,2.0,27.0,43.0,9.0,284.2,81.5,14
19,,Murud,348.8,0.0,0.0,0.0, - ,0.0,0.0, - ,136.1,1.0, - ,11.0,33.0,17.0,1.0,2.0,5.0,0.0, - , - , - , - ,66.4,1.4, - ,0.0,3.0,4.0,0.0,0.0,38.0,318.9,94.6,9
20,,Shriwardhan,337.1,4.2,0.0,0.0,0.0,0.0,0.0, - ,10.2,2.0, - ,11.2,4.0,36.0,0.0,0.0,7.0,0.0, - , - , - , - ,38.0,2.0, - ,0.0,0.0,12.0,0.0,17.6,7.2,151.4,38.4,10
21,,Mahasala,394.3,17.0,0.0,0.0,0.0,0.0,0.0, - ,16.0,1.2, - ,34.2,42.0,2.0,4.2,0.0,2.0,0.0, - , - , - , - ,65.0,1.6, - ,0.0,4.4,4.0,0.0,6.2,3.0,202.8,52.4,10
22,,Tala,387.1,20.0,0.0,0.0,0.0,0.0,0.0, - ,30.0,0.0, - ,24.0,32.2,4.4,0.0,0.0,2.6,16.0, - , - , - , - ,93.0,1.0, - ,0.0,18.0,0.0,0.0,30.0,14.0,285.2,66.4,11
23,Ratnagiri,Chiplun,429.5,15.0,19.0,2.0,0.0,0.0,0.0,37.0,2.0,32.0,27.0,33.0,23.0,11.0,2.0,0.0,3.0,0.0,0.0,0.0,17.0,7.0,83.0,7.0,0.0,8.0,2.0,13.0,11.0,17.0,5.0,376,89.8,18
24,,Dapoli,418.5,15.0,2.0,0.5,0.0,0.0,0.0,46.0,4.6,28.0,39.4,20.0,19.0,1.5,0.5,4.0,4.0,2.2,0.0,0.0,4.8,2.5,26.0,8.8,1.2,4.4,0.0,46.2,15.2,11.2,15.0,322,78.6,17
25,,Khed,409.6,29.0,0.0,0.0,0.1,0.0,0.0,17.0,7.0,5.0,29.0,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,6.0,0.0,7.0,0.0,32.0,14.0,11.0,1.0,36.0,1.0,247.1,37.6,14
26,,Guhagar,657.9,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,9.0,41.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,11.0,22.0,72.0,2.0,11.0,18.0,228,51.9,11
27,,Mandangad,439.6,5.0,1.0,0.0,0.0,0.0,0.0, - ,1.0,19.0,33.0,11.0,47.0,19.0,0.0,5.0,0.0,9.0,0.0,0.0,42.0,3.0,6.0,4.0,1.0,7.0,59.0,28.0,3.0,9.0,5.0,317,91.2,18
28,,Ratnagiri,347.5,5.6,2.0,0.0,0.0,0.0,0.0,15.8,1.6,7.0,50.4,35.0,3.8,2.1,0.0,2.0,6.6,0.3,0.0,0.0,1.6,0.1,31.4,14.4,0.0,0.6,1.8,16.4,0.0,7.8,4.0,210.3,48.9,12
29,,Sangameshwar,429.7,14.0,9.0,0.0,0.0,0.0,1.1,42.0,13.0,18.0,67.0,45.0,42.0,0.0,22.0,0.0,9.0,3.0,0.0,0.0,26.0,42.0,20.0,19.0,0.0,34.0,5.0,0.0,0.0,6.0,11.0,448.1,124.6,19
30,,Rajapur,359.7,5.0,0.0,0.0,0.0,0.0,0.0,102.0,21.0,25.0,31.0,52.0,28.0,7.0,10.0,2.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,20.0,0.0,6.0,45.0,7.0,0.0,2.0,72.0,446,115.5,15
