Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total RainFall,%RainFall,Rainy Days
1,Thane,Thane,637.2,71.5,136.5,80.0,161.0,69.3,72.0,40.0,11.0,58.0,18.3,26.8,13.4,20.0,12.6,17.0,31.5,15.0,12.1,15.0,35.0,8.0,66.0,9.0,7.0,22.1,4.2,1.0,0.0,0.0,1.0,0.0,1034.3,158.5,26
2,,Kalyan,652.7,114.0,178.0,150.0,152.0,38.0,94.0,37.0,35.0,41.0,24.0,36.0,14.8,8.0,14.0,15.0,9.0,17.0,12.0,21.0,20.0,12.0,64.0,7.0,10.0,15.0,13.0,0.0,0.0,0.0,1.0,0.0,1151.8,181.6,26
3,,Murbad,634.3,177.4,197.5,261.0,295.4,84.4,87.4,76.2,58.4,72.5,51.3,127.5,272.5,77.2,77.3,84.3,97.3,66.2,62.2,88.2,57.2,75.2,90.5,37.3,32.2,38.3,57.2,3.0,0.0,0.0,0.0,0.0,2705.1,418.5,27
4,,Bhivandi,646.4,95.0,148.0,113.0,133.0,43.0,97.0,11.0,17.0,14.0,29.0,20.0,116.0,13.0,11.0,7.0,16.0,14.0,4.0,16.0,31.0,9.0,83.0,10.0,7.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1066,151.6,25
5,,Shahapur,703.2,51.0,85.0,200.0,229.0,20.0,42.0,29.0,26.0,38.0,19.0,34.0,99.0,8.0,52.0,54.0,16.0,27.0,8.0,27.0,11.0,15.0,25.0,8.0,9.0,23.0,2.0,0.0,0.0,0.0,0.0,0.0,1157,191.5,25
6,,Ulhasnagar,604.3,55.4,105.4,82.0,92.3,44.6,64.4,7.0,23.4,18.4,22.6,32.3,91.8,11.2,2.2,15.4,18.4,19.6,22.4,19.2,24.4,14.2,66.4,10.4,7.2,14.4,0.0,0.0,0.0,0.0,0.0,0.0,885,146.5,24
7,,Ambarnath,604.3,60.2,120.0,112.0,148.2,40.8,94.0,12.2,12.0,22.6,18.0,40.2,11.0,10.0,6.0,16.0,20.0,23.2,20.0,20.2,25.2,13.2,80.0,12.0,10.0,16.0,0.0,0.0,0.0,0.0,2.6,0.0,965.6,201.4,26
8,Raigadh,Alibag,479.4,61.8,112.7,70.4,51.2,119.9,40.3,0.4,5.1,18.4,11.2,7.4,66.8,7.0,0.3,6.1,4.5,30.0,0.5,7.0,4.6,9.5,14.5,1.9,16.6,7.9,0.0,0.0,0.0,0.0,0.0,0.0,676,85.5,21
9,,Panwel,790.4,73.4,216.4,88.4,137.0,95.8,62.0,9.0,16.8,9.4,22.0,21.6,106.0,6.0,6.0,45.0,22.0,11.4,22.6,8.4,8.4,46.4,62.4,15.8,34.2,31.0,9.0,0.0,0.0,0.0,0.0,0.0,1186.4,126.5,26
10,,Karjat,937.6,55.0,175.8,166.7,142.0,85.8,56.5,19.2,17.2,51.0,37.0,13.7,142.2,18.4,6.3,110.8,57.6,11.8,10.7,27.5,39.0,25.0,86.4,20.8,48.2,43.8,21.7,1.2,0.0,0.0,1.0,2.9,1495.2,145.7,27
