Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total RainFall,%RainFall,Rainy Days
1,Thane,Thane,534.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,5.0,2.0,20.0,0.0,0.0,0.0,0.0,13.6,50.2,41.5,2.2,0.0,0.0,0.0,25.2,0.0,31.4,9.6,22.2,145.0,12.4,3.8,384.6,80.7,12
2,,Kalyan,476.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,40.0,5.0,3.0,6.0,0.0,0.0,0.0,0.0,2.0,69.0,61.0,0.0,1.0,0.0,0.0,0.0,7.0,23.0,1.0,2.0,9.0,3.0,1.0,235,62.1,10
3,,Murbad,378.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,25.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,18.0,129.2,3.0,0.0,0.0,0.0,0.0,0.0,75.0,9.0,8.0,0.0,0.0,0.0,307.3,65.1,9
4,,Bhivandi,471.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,55.0,3.0,5.0,0.0,0.0,0.0,3.0,45.0,11.0,8.6,14.4,3.0,0.0,215,52.1,11
5,,Shahapur,412.7,0.0,0.0,0.0,0.0,0.0,0.0,18.2,1.2,2.0,32.0,11.0,0.0,0.0,0.0,0.0,7.8,37.0,150.0,4.0,1.4,1.0,0.6,0.0,4.6,62.0,0.6,7.4,1.0,0.0,7.0,348.8,76.3,11
6,,Ulhasnagar,457.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,19.5,4.0,30.0,0.0,0.0,0.0,0.0,5.0,46.0,74.0,0.0,3.0,0.0,0.0,0.0,19.0,48.0,0.3,16.0,9.0,4.2,6.0,312,68.3,15
7,,Ambarnath,457.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.4,9.1,2.0,2.0,0.0,0.0,0.0,0.0,5.6,44.3,83.3,0.0,0.0,3.2,0.0,0.0,11.0,52.2,11.8,20.6,15.4,0.0,0.0,270.9,50.1,11
8,Raigadh,Alibag,540.8,0.0,0.0,0.0,0.0,0.0,19.2,0.0,0.0,0.0,0.0,72.2,2.0,5.6,0.0,0.0,20.0,35.0,70.2,0.0,2.0,0.0,1.0,0.0,0.0,6.0,11.0,35.0,17.0,37.0,0.0,333.2,58.7,11
9,,Panwel,567.5,0.0,0.0,0.0,0.0,0.0,0.0,6.4,17.2,31.0,19.4,3.2,0.0,0.0,0.0,0.0,4.0,63.4,85.0,1.4,0.0,2.0,0.0,0.0,25.0,28.0,1.6,5.0,2.0,16.4,0.0,311,56.7,12
10,,Karjat,548.7,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,5.2,9.7,4.0,0.0,0.0,0.0,0.0,13.2,33.2,110.0,10.6,20.2,3.0,7.4,0.0,15.2,63.2,3.5,11.7,3.5,2.8,3.8,331.2,58.8,19
11,,Khalapur,563.4,0.0,0.0,0.0,0.0,0.0,18.0,1.6,3.0,17.0,6.0,24.0,0.5,0.0,0.0,0.0,43.0,35.0,118.0,9.6,18.0,0.0,0.0,0.0,8.0,49.0,3.8,13.0,1.0,0.0,0.0,368.5,70.3,14
12,,Uran,524.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,36.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,22.0,52.0,0.0,180,24.5,5
13,,Sudhagad,735.6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,18.0,7.0,0.0,0.0,0.0,0.0,1.0,52.0,120.0,6.4,7.4,3.0,6.4,0.0,19.2,75.0,5.4,44.0,13.0,42.0,12.0,437.8,79,15
14,,Pen,554.1,0.0,0.0,0.0,0.0,0.0,6.2,7.4,1.0,3.1,2.1,33.2,0.0,0.0,0.0,0.0,6.3,20.4,47.7,3.4,5.3,0.0,0.0,0.0,8.4,21.0,0.0,5.2,4.3,24.4,6.4,205.8,31.6,15
15,,Mahad,651.0,0.0,0.0,0.0,0.0,0.0,5.1,7.3,0.0,0.0,17.2,5.2,0.0,0.0,9.0,0.0,0.0,42.0,201.0,8.3,0.6,0.6,0.0,0.0,9.4,25.0,2.3,62.0,92.0,28.4,2.0,517.4,82.1,13
16,,Mangaon,630.3,0.0,0.0,0.0,0.0,0.0,7.0,12.0,2.0,11.4,4.2,43.4,0.0,0.0,0.0,0.0,22.0,66.0,148.0,22.0,0.0,0.0,0.0,0.0,1.0,78.0,10.0,34.0,75.0,59.0,2.0,597,84.7,14
17,,Roha,704.9,0.0,0.0,0.0,0.0,0.0,5.0,3.0,0.0,2.0,18.0,22.0,0.0,1.0,0.0,0.0,5.0,32.0,122.0,8.0,2.0,0.0,1.0,0.0,14.0,49.0,11.0,16.0,36.0,94.0,0.0,441,60.5,14
18,,Poladpur,728.6,0.0,0.0,0.0,0.0,0.0,47.0,2.0,10.0,10.0,19.0,17.0,2.0,0.0,8.0,0.0,0.0,77.0,170.0,15.0,2.0,0.0,0.0,0.0,13.0,45.0,20.0,49.0,96.0,43.0,1.0,646,97.3,15
19,,Murud,664.2,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,4.0,15.0,37.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,16.0,9.0,87.0,133.0,0.0,353,38.7,10
20,,Shriwardhan,911.6,0.0,0.0,0.0,0.0,0.0,13.8,3.0,0.0,20.0,15.8,24.0,3.0,23.0,0.0,3.0,11.0,35.0,148.0,2.0,3.0,1.6,0.0,0.0,25.0,10.0,4.0,8.0,66.0,65.0,10.0,494.2,61.5,19
21,,Mahasala,803.5,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,10.4,19.6,52.0,0.0,6.2,0.0,0.0,40.0,119.4,209.0,9.4,3.4,3.4,0.0,0.0,11.4,72.8,11.7,18.4,40.0,102.0,5.2,744.9,118.2,18
22,,Tala,630.3,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,2.0,40.0,5.0,2.0,4.0,0.0,5.0,52.0,274.4,19.0,10.0,0.0,13.0,5.0,0.0,74.0,23.0,44.0,34.0,94.0,3.0,719.4,91.8,17
23,Ratnagiri,Chiplun,783.9,0.0,0.0,0.0,0.0,3.0,113.0,15.0,1.0,10.0,4.0,6.0,5.0,4.0,11.0,0.0,1.0,63.0,197.0,165.0,4.0,0.0,5.0,0.0,48.0,81.0,22.0,61.0,38.0,63.0,95.0,1015,111.5,21
24,,Dapoli,910.3,0.0,0.0,0.0,0.0,0.0,21.0,1.2,57.4,1.4,19.7,34.8,0.0,16.0,0.0,4.8,8.8,52.0,337.0,96.0,9.2,5.8,2.0,18.8,21.0,26.2,28.4,47.3,81.7,43.4,0.0,933.9,112.9,19
25,,Khed,827.2,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,18.0,17.0,61.0,19.0,14.0,2.0,11.0,9.0,41.0,158.0,54.0,5.0,6.0,3.0,2.0,16.0,32.0,9.0,44.0,40.0,36.0,2.0,649,93.2,20
26,,Guhagar,696.6,0.0,0.0,0.0,0.0,0.0,26.0,6.0,2.0,0.0,22.0,56.0,11.0,8.0,0.0,16.0,0.0,67.0,199.0,101.0,0.0,3.0,1.0,0.0,18.0,32.0,4.0,66.0,102.0,35.0,2.0,777,90.6,17
27,,Mandangad,858.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,8.0,45.0,12.0,0.0,14.0,0.0,11.0,8.0,55.0,193.0,46.0,10.0,11.0,2.0,0.0,5.0,64.0,12.0,81.0,82.0,82.0,0.0,752,91.1,18
28,,Ratnagiri,825.2,0.0,0.0,0.0,0.0,2.7,16.8,4.4,0.1,1.5,22.3,1.4,11.4,5.1,0.0,26.4,4.1,14.0,230.8,156.4,1.2,4.6,14.5,0.1,4.7,26.9,20.2,28.7,52.9,83.2,25.4,759.8,97,20
29,,Sangameshwar,783.1,0.0,0.0,0.0,0.0,1.0,54.0,4.0,11.0,6.4,9.0,4.0,13.2,1.0,9.4,4.0,2.5,86.0,282.0,93.0,5.2,5.1,5.2,5.0,44.0,61.0,30.3,21.1,78.0,49.6,124.3,1009.3,118.9,23
30,,Rajapur,849.2,0.0,0.0,0.0,0.0,0.0,78.0,10.0,10.0,5.0,3.0,2.0,40.0,15.0,3.0,0.0,14.0,29.0,162.0,130.0,22.0,4.0,2.0,14.0,23.0,18.0,48.0,55.0,75.0,7.0,16.0,785,94.8,22
31,,Lanja,828.0,0.0,0.0,0.0,0.0,0.0,25.0,4.0,12.0,19.0,1.0,1.0,21.0,6.0,4.0,2.0,3.0,19.0,192.0,51.0,30.0,4.0,1.0,9.0,44.0,22.0,20.0,27.0,48.0,28.0,8.0,601,81.7,21
32,Sindhudurg,Devgad,735.2,0.0,0.0,0.0,52.0,0.0,4.0,10.0,16.0,0.0,0.0,0.0,46.0,71.0,0.0,0.0,19.0,18.0,235.0,115.0,0.0,17.0,71.0,17.0,11.0,9.0,23.0,49.0,39.0,48.0,167.0,1037,142,20
33,,Malwan,730.1,0.0,0.0,0.0,0.0,52.0,25.0,5.0,4.0,8.0,6.0,0.0,26.0,35.0,12.0,0.0,20.0,56.0,268.0,386.0,6.0,0.0,40.0,34.0,100.0,56.0, - ,51.0,87.0,29.0,26.0,1332,132.1,22
