Sr,District,Taluka,Circle,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total RainFall,%RainFall,Rainy Days
1,Nasik,Malegaon,Malegaon,25.8,-,-,-,-,-,-,-,-,0.0,16.0,39.0,95.0,0.0,0.0,0.0,26.0,14.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,190,711.6,5
2,,Baglan,Satana,26.7,-,-,-,-,-,-,-,-,0.0,11.0,36.0,63.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,121,395.4,5
3,,Kalwan,Kalwan,30.6,-,-,-,-,-,-,-,-,5.0,19.0,62.0,70.0,0.0,0.0,15.0,2.0,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,173,518,5
4,,Nandgaon,Nandgaon,33.4,-,-,-,-,-,-,-,-,0.0,65.0,40.0,127.0,0.0,0.0,0.0,25.0,6.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,263,2038.8,5
5,,Surgana,Surgana,12.9,-,-,-,-,-,-,-,-,8.0,9.0,23.0,27.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,69,377,4
6,,Nasik,Nasik,18.3,-,-,-,-,-,-,-,-,0.0,4.0,34.0,37.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,99,423.1,4
7,,Dindori,Dindori,23.4,-,-,-,-,-,-,-,-,5.0,11.0,37.5,52.0,0.0,0.0,7.0,12.0,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,124.5,512.3,6
8,,Egatpuri,Igatpuri,24.3,-,-,-,-,-,-,-,-,0.0,0.0,38.0,63.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,113,570.7,4
9,,Peth,Peth,19.8,-,-,-,-,-,-,-,-,3.0,9.0,28.0,42.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,94,376,6
10,,Niphad,Niphad,25.0,-,-,-,-,-,-,-,-,0.0,6.0,43.0,68.0,0.0,0.0,6.0,31.0,1.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,155,538.2,5
11,,Sinnar,Sinnar,28.8,-,-,-,-,-,-,-,-,5.0,0.0,51.0,129.0,0.0,0.0,7.0,29.0,1.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,222,768.2,5
12,,Yevla,Yeola,28.9,-,-,-,-,-,-,-,-,0.0,12.0,41.0,129.0,0.0,0.0,0.0,37.0,7.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,226,849.6,5
13,,Chandwad,Chandwad,26.6,-,-,-,-,-,-,-,-,0.0,21.0,68.0,168.0,0.0,0.0,3.0,37.0,2.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,299,1633.9,5
14,,Trimbakeshwar,Tryambakeshwar,18.3,-,-,-,-,-,-,-,-,0.0,2.0,31.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,111,362.7,2
15,,Devali,Devala,30.6,-,-,-,-,-,-,-,-,2.0,11.0,65.0,117.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,210,686.3,5
