Sr,District,Taluka,Taluka Normal RainFall,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Total RainFall,%RainFall,Rainy Days
1,Thane,Thane,101.1,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,2.2,2.4,0
2,,Kalyan,90.6,0.0,0.0,0.0,0.0,25.0,30.0,2.0,29.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,86.5,83.8,3
3,,Murbad,103.2,0.0,0.0,0.0,0.0,5.3,54.4,1.0,29.0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,104.1,109.8,4
4,,Bhivandi,94.8,0.0,0.0,0.0,0.0,22.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,26,27.3,2
5,,Shahapur,95.2,0.0,0.0,0.0,0.0,27.0,5.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,36.8,40.6,3
6,,Ulhasnagar,90.6,0.0,0.0,0.0,0.0,42.0,43.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,97,107.1,3
7,,Ambarnath,90.6,0.0,0.0,0.0,0.0,18.0,26.0,5.4,4.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,65.4,87.4,5
8,Raigadh,Alibag,74.8,0.0,0.0,0.0,0.0,0.0,15.8,0.0,76.8,0.0,21.2,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.8,138.4,4
9,,Panwel,94.5,0.0,0.0,0.0,0.0,11.4,10.2,10.2,0.0,0.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8,44.7,5
10,,Karjat,131.4,0.0,0.0,0.0,0.0,40.8,25.7,3.6,20.2,0.0,20.5,3.3,15.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.6,92,7
11,,Khalapur,142.0,0.0,0.0,0.0,0.0,80.0,5.0,0.0,37.1,0.0,22.0,21.1,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.2,252.7,6
12,,Uran,71.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,11.4,2
13,,Sudhagad,105.5,0.0,0.0,1.0,1.0,1.0,27.0,6.0,22.0,0.0,28.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93,89.5,5
14,,Pen,103.9,0.0,0.0,0.0,3.2,5.2,9.4,0.0,11.2,0.0,9.4,13.2,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8,45.8,7
15,,Mahad,128.3,0.0,0.0,30.4,0.0,2.2,0.2,0.0,69.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102,88.3,2
16,,Mangaon,115.5,0.0,0.0,0.0,0.0,3.2,0.0,0.0,10.2,0.0,4.4,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.8,28.5,4
17,,Roha,129.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,13.5,2
18,,Poladpur,148.6,0.0,0.0,2.0,4.0,0.0,0.0,25.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169,156.9,3
19,,Murud,107.7,0.0,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2,32,2
20,,Shriwardhan,85.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5.8,1
21,,Mahasala,120.5,0.0,0.0,0.0,7.6,14.0,17.4,0.0,0.0,0.0,4.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.6,42.1,5
22,,Tala,115.5,0.0,0.0,0.0,8.0,0.0,0.0,0.0,14.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27,15.8,3
23,Ratnagiri,Chiplun,171.2,0.0,0.0,0.0,0.0,4.0,12.0,8.0,63.0,0.0,66.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,180,180.4,6
24,,Dapoli,99.8,0.0,0.0,0.0,1.4,5.0,2.6,0.0,0.0,0.0,0.6,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,10.1,6.5,2
25,,Khed,155.4,0.0,0.0,0.0,0.0,75.0,40.0,0.0,0.0,0.0,14.0,23.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0, - , - , - , - , - , - , - , - , - , - , - ,157,158.6,5
